Year,economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,,water withdrawal,18.949
2011,,,,,water withdrawal,17.509
2012,,,,,water withdrawal,15.956
2013,,,,,water withdrawal,15.188
2014,,,,,water withdrawal,15.214
2015,,,,,water withdrawal,14.56
2016,,,,,water withdrawal,14.464
2017,,,,,water withdrawal,13.374
2018,,,,,water withdrawal,13.333
2019,,,,,water withdrawal,12.993
2020,,,,,water withdrawal,13.225
2021,,,,,water withdrawal,12.097
2022,,,,,water withdrawal,11.723
2010,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,1.979
2011,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,2.47
2012,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,2.735
2013,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,2.751
2014,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,2.906
2015,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,3.439
2016,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,3.264
2017,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,3.542
2018,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,4.556
2019,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,4.408
2020,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,4.396
2021,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,3.737
2022,"agriculture, forestry and fishing (isic a)",,,,water withdrawl by economic activity,5.16
2010,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,75.898
2011,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,73.682
2012,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,71.087
2013,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,69.247
2014,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,69.284
2015,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,67.391
2016,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,66.817
2017,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,64.893
2018,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,63.221
2019,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,62.045
2020,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,63.135
2021,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,61.558
2022,"mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (isic b, c, d and f)",,,,water withdrawl by economic activity,58.753
2010,"other services (isic e, g to t)",,,,water withdrawl by economic activity,21.001
2011,"other services (isic e, g to t)",,,,water withdrawl by economic activity,22.67
2012,"other services (isic e, g to t)",,,,water withdrawl by economic activity,24.857
2013,"other services (isic e, g to t)",,,,water withdrawl by economic activity,26.531
2014,"other services (isic e, g to t)",,,,water withdrawl by economic activity,26.539
2015,"other services (isic e, g to t)",,,,water withdrawl by economic activity,27.968
2016,"other services (isic e, g to t)",,,,water withdrawl by economic activity,28.763
2017,"other services (isic e, g to t)",,,,water withdrawl by economic activity,30.437
2018,"other services (isic e, g to t)",,,,water withdrawl by economic activity,31.114
2019,"other services (isic e, g to t)",,,,water withdrawl by economic activity,32.32
2020,"other services (isic e, g to t)",,,,water withdrawl by economic activity,31.567
2021,"other services (isic e, g to t)",,,,water withdrawl by economic activity,33.953
2022,"other services (isic e, g to t)",,,,water withdrawl by economic activity,35.459
