Year,timeseries,Value
2010,animal genetic resources (number),
2011,animal genetic resources (number),
2012,animal genetic resources (number),
2013,animal genetic resources (number),
2014,animal genetic resources (number),
2015,animal genetic resources (number),
2016,animal genetic resources (number),
2017,animal genetic resources (number),28.0
2018,animal genetic resources (number),28.0
2019,animal genetic resources (number),28.0
2020,animal genetic resources (number),28.0
2010,plant genetic resources (number),
2011,plant genetic resources (number),
2012,plant genetic resources (number),
2013,plant genetic resources (number),
2014,plant genetic resources (number),174266.0
2015,plant genetic resources (number),
2016,plant genetic resources (number),174405.0
2017,plant genetic resources (number),177387.0
2018,plant genetic resources (number),179498.0
2019,plant genetic resources (number),181637.0
2020,plant genetic resources (number),181574.0
