Year,Units,Value
2010,participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),75.8
2011,participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),76.8
2012,participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),77.9
2013,participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),78.7
2014,participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),78.5
2015,participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),79.8
2016,participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),79.1
2017,participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),79.6
2018,participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),
2010,participation rate of adults in formal and non-formal education and training in the previous 12 months (%),20.5
2011,participation rate of adults in formal and non-formal education and training in the previous 12 months (%),21.1
2012,participation rate of adults in formal and non-formal education and training in the previous 12 months (%),19.7
2013,participation rate of adults in formal and non-formal education and training in the previous 12 months (%),19.6
2014,participation rate of adults in formal and non-formal education and training in the previous 12 months (%),19.5
2015,participation rate of adults in formal and non-formal education and training in the previous 12 months (%),20.0
2016,participation rate of adults in formal and non-formal education and training in the previous 12 months (%),20.6
2017,participation rate of adults in formal and non-formal education and training in the previous 12 months (%),19.7
2018,participation rate of adults in formal and non-formal education and training in the previous 12 months (%),
