Year,Units,Time series,Value
2010,Million EUR,ODA (commitments) for poverty reduction,841.3
2011,Million EUR,ODA (commitments) for poverty reduction,1037.4
2012,Million EUR,ODA (commitments) for poverty reduction,1532.1
2013,Million EUR,ODA (commitments) for poverty reduction,1318.0
2014,Million EUR,ODA (commitments) for poverty reduction,1293.6
2015,Million EUR,ODA (commitments) for poverty reduction,1514.9
2016,Million EUR,ODA (commitments) for poverty reduction,1676.8
2017,Million EUR,ODA (commitments) for poverty reduction,2097.2
2018,Million EUR,ODA (commitments) for poverty reduction,2348.3
2019,Million EUR,ODA (commitments) for poverty reduction,2500.7
2020,Million EUR,ODA (commitments) for poverty reduction,3455.1
2021,Million EUR,ODA (commitments) for poverty reduction,4384.1
2010,Million EUR,ODA (gross disbursements) for poverty reduction,778.1
2011,Million EUR,ODA (gross disbursements) for poverty reduction,800.4
2012,Million EUR,ODA (gross disbursements) for poverty reduction,815.8
2013,Million EUR,ODA (gross disbursements) for poverty reduction,828.7
2014,Million EUR,ODA (gross disbursements) for poverty reduction,1094.8
2015,Million EUR,ODA (gross disbursements) for poverty reduction,1299.0
2016,Million EUR,ODA (gross disbursements) for poverty reduction,1657.0
2017,Million EUR,ODA (gross disbursements) for poverty reduction,1632.4
2018,Million EUR,ODA (gross disbursements) for poverty reduction,1681.2
2019,Million EUR,ODA (gross disbursements) for poverty reduction,1864.7
2020,Million EUR,ODA (gross disbursements) for poverty reduction,3189.8
2021,Million EUR,ODA (gross disbursements) for poverty reduction,3363.4
2010,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,1131.6
2011,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,1380.4
2012,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,2008.7
2013,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,1694.8
2014,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,1632.9
2015,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,1877.3
2016,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,2050.7
2017,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,2526.8
2018,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,2774.5
2019,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,2895.0
2020,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,3937.4
2021,"Million USD, constant prices (2020)",ODA (commitments) for poverty reduction,4848.6
2010,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,1046.6
2011,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,1065.0
2012,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,1069.6
2013,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,1065.5
2014,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,1381.9
2015,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,1609.8
2016,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,2026.5
2017,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,1966.7
2018,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,1986.3
2019,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,2158.7
2020,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,3635.1
2021,"Million USD, constant prices (2020)",ODA (gross disbursements) for poverty reduction,3719.8
