Year,Units,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Percentage,15 to under 25 years,,,,,75.837
2011,Percentage,15 to under 25 years,,,,,76.789
2012,Percentage,15 to under 25 years,,,,,77.862
2013,Percentage,15 to under 25 years,,,,,78.711
2014,Percentage,15 to under 25 years,,,,,78.927
2015,Percentage,15 to under 25 years,,,,,79.76
2016,Percentage,15 to under 25 years,,,,,79.134
2017,Percentage,15 to under 25 years,,,,,79.603
2018,Percentage,15 to under 25 years,,,,,79.605
2019,Percentage,15 to under 25 years,,,,,79.357
2020,Percentage,15 to under 25 years,,|,,,79.956
2021,Percentage,15 to under 25 years,,r,,,77.662
2022,Percentage,15 to under 25 years,,r,,,77.789
2023,Percentage,15 to under 25 years,,,,,77.07
2024,Percentage,15 to under 25 years,,p,,,77.414
2010,Number,15 to under 25 years,,,,,6854.84
2011,Number,15 to under 25 years,,,,,6685.93
2012,Number,15 to under 25 years,,,,,6666.332
2013,Number,15 to under 25 years,,,,,6717.407
2014,Number,15 to under 25 years,,,,,6677.865
2015,Number,15 to under 25 years,,,,,6685.208
2016,Number,15 to under 25 years,,,,,6725.985
2017,Number,15 to under 25 years,,,,,6758.986
2018,Number,15 to under 25 years,,,,,6710.186
2019,Number,15 to under 25 years,,,,,6673.422
2020,Number,15 to under 25 years,,|,,,6710.363
2021,Number,15 to under 25 years,,r,,,6263.858
2022,Number,15 to under 25 years,,r,,,6318.008
2023,Number,15 to under 25 years,,,,,6356.216
2024,Number,15 to under 25 years,,p,,,6406.891
2010,Percentage,15 to under 25 years,Female,,,,76.754
2011,Percentage,15 to under 25 years,Female,,,,77.776
2012,Percentage,15 to under 25 years,Female,,,,78.684
2013,Percentage,15 to under 25 years,Female,,,,79.211
2014,Percentage,15 to under 25 years,Female,,,,79.414
2015,Percentage,15 to under 25 years,Female,,,,80.144
2016,Percentage,15 to under 25 years,Female,,,,79.49
2017,Percentage,15 to under 25 years,Female,,,,80.218
2018,Percentage,15 to under 25 years,Female,,,,80.649
2019,Percentage,15 to under 25 years,Female,,,,80.717
2020,Percentage,15 to under 25 years,Female,|,,,80.894
2021,Percentage,15 to under 25 years,Female,r,,,79.353
2022,Percentage,15 to under 25 years,Female,r,,,79.477
2023,Percentage,15 to under 25 years,Female,,,,79.035
2024,Percentage,15 to under 25 years,Female,p,,,79.117
2010,Number,15 to under 25 years,Female,,,,3407.51
2011,Number,15 to under 25 years,Female,,,,3321.95
2012,Number,15 to under 25 years,Female,,,,3281.536
2013,Number,15 to under 25 years,Female,,,,3279.818
2014,Number,15 to under 25 years,Female,,,,3251.84
2015,Number,15 to under 25 years,Female,,,,3237.397
2016,Number,15 to under 25 years,Female,,,,3223.503
