Year,Units,Mode of transport,Value
2010,a) Passenger transport (Mn pkm),,1117240.0
2011,a) Passenger transport (Mn pkm),,1131004.0
2012,a) Passenger transport (Mn pkm),,1135558.0
2013,a) Passenger transport (Mn pkm),,1144212.0
2014,a) Passenger transport (Mn pkm),,1162858.0
2015,a) Passenger transport (Mn pkm),,1180505.0
2016,a) Passenger transport (Mn pkm),,1204690.0
2017,a) Passenger transport (Mn pkm),,
2018,a) Passenger transport (Mn pkm),,
2010,a) Passenger transport (Mn pkm),road transport,78092.0
2011,a) Passenger transport (Mn pkm),road transport,77957.0
2012,a) Passenger transport (Mn pkm),road transport,76019.0
2013,a) Passenger transport (Mn pkm),road transport,76885.0
2014,a) Passenger transport (Mn pkm),road transport,78786.0
2015,a) Passenger transport (Mn pkm),road transport,81771.0
2016,a) Passenger transport (Mn pkm),road transport,81094.0
2017,a) Passenger transport (Mn pkm),road transport,
2018,a) Passenger transport (Mn pkm),road transport,
2010,a) Passenger transport (Mn pkm),rail transport,83886.0
2011,a) Passenger transport (Mn pkm),rail transport,85414.0
2012,a) Passenger transport (Mn pkm),rail transport,88796.0
2013,a) Passenger transport (Mn pkm),rail transport,89613.0
2014,a) Passenger transport (Mn pkm),rail transport,90976.0
2015,a) Passenger transport (Mn pkm),rail transport,91709.0
2016,a) Passenger transport (Mn pkm),rail transport,94197.0
2017,a) Passenger transport (Mn pkm),rail transport,
2018,a) Passenger transport (Mn pkm),rail transport,
2010,a) Passenger transport (Mn pkm),commercial air transport,52822.0
2011,a) Passenger transport (Mn pkm),commercial air transport,55216.0
2012,a) Passenger transport (Mn pkm),commercial air transport,56180.0
2013,a) Passenger transport (Mn pkm),commercial air transport,56294.0
2014,a) Passenger transport (Mn pkm),commercial air transport,58136.0
2015,a) Passenger transport (Mn pkm),commercial air transport,61295.0
2016,a) Passenger transport (Mn pkm),commercial air transport,63939.0
2017,a) Passenger transport (Mn pkm),commercial air transport,67523.0
2018,a) Passenger transport (Mn pkm),commercial air transport,
2010,a) Passenger transport (Mn pkm),motorised private transport,902440.0
2011,a) Passenger transport (Mn pkm),motorised private transport,912417.0
2012,a) Passenger transport (Mn pkm),motorised private transport,914563.0
2013,a) Passenger transport (Mn pkm),motorised private transport,921420.0
2014,a) Passenger transport (Mn pkm),motorised private transport,934960.0
2015,a) Passenger transport (Mn pkm),motorised private transport,945730.0
2016,a) Passenger transport (Mn pkm),motorised private transport,965460.0
2017,a) Passenger transport (Mn pkm),motorised private transport,
2018,a) Passenger transport (Mn pkm),motorised private transport,
2010,b) Freight transport (Mn tkm),,627857.0
2011,b) Freight transport (Mn tkm),,627966.0
2012,b) Freight transport (Mn tkm),,618911.0
2013,b) Freight transport (Mn tkm),,636011.0
2014,b) Freight transport (Mn tkm),,643567.0
2015,b) Freight transport (Mn tkm),,651928.0
2016,b) Freight transport (Mn tkm),,666923.0
2017,b) Freight transport (Mn tkm),,
2018,b) Freight transport (Mn tkm),,
2010,b) Freight transport (Mn tkm),road transport,440600.0
2011,b) Freight transport (Mn tkm),road transport,442635.0
2012,b) Freight transport (Mn tkm),road transport,431999.0
2013,b) Freight transport (Mn tkm),road transport,443681.0
2014,b) Freight transport (Mn tkm),road transport,452939.0
2015,b) Freight transport (Mn tkm),road transport,460200.0
2016,b) Freight transport (Mn tkm),road transport,464000.0
2017,b) Freight transport (Mn tkm),road transport,
2018,b) Freight transport (Mn tkm),road transport,
2010,b) Freight transport (Mn tkm),rail transport,107292.0
2011,b) Freight transport (Mn tkm),rail transport,113201.0
2012,b) Freight transport (Mn tkm),rail transport,110797.0
2013,b) Freight transport (Mn tkm),rail transport,112670.0
2014,b) Freight transport (Mn tkm),rail transport,112553.0
2015,b) Freight transport (Mn tkm),rail transport,117252.0
2016,b) Freight transport (Mn tkm),rail transport,128296.0
2017,b) Freight transport (Mn tkm),rail transport,129361.0
2018,b) Freight transport (Mn tkm),rail transport,
2010,b) Freight transport (Mn tkm),inland waterway transport,62278.0
2011,b) Freight transport (Mn tkm),inland waterway transport,55027.0
2012,b) Freight transport (Mn tkm),inland waterway transport,58488.0
2013,b) Freight transport (Mn tkm),inland waterway transport,60070.0
2014,b) Freight transport (Mn tkm),inland waterway transport,59093.0
2015,b) Freight transport (Mn tkm),inland waterway transport,55315.0
2016,b) Freight transport (Mn tkm),inland waterway transport,54347.0
2017,b) Freight transport (Mn tkm),inland waterway transport,55518.0
2018,b) Freight transport (Mn tkm),inland waterway transport,46900.0
2010,b) Freight transport (Mn tkm),commercial air transport,1428.0
2011,b) Freight transport (Mn tkm),commercial air transport,1480.0
2012,b) Freight transport (Mn tkm),commercial air transport,1420.0
2013,b) Freight transport (Mn tkm),commercial air transport,1410.0
2014,b) Freight transport (Mn tkm),commercial air transport,1441.0
2015,b) Freight transport (Mn tkm),commercial air transport,1447.0
2016,b) Freight transport (Mn tkm),commercial air transport,1519.0
2017,b) Freight transport (Mn tkm),commercial air transport,1617.0
2018,b) Freight transport (Mn tkm),commercial air transport,
2010,b) Freight transport (Mn tkm),transport via pipeline: crude oil,16259.0
2011,b) Freight transport (Mn tkm),transport via pipeline: crude oil,15623.0
2012,b) Freight transport (Mn tkm),transport via pipeline: crude oil,16207.0
2013,b) Freight transport (Mn tkm),transport via pipeline: crude oil,18180.0
2014,b) Freight transport (Mn tkm),transport via pipeline: crude oil,17541.0
2015,b) Freight transport (Mn tkm),transport via pipeline: crude oil,17714.0
2016,b) Freight transport (Mn tkm),transport via pipeline: crude oil,18761.0
2017,b) Freight transport (Mn tkm),transport via pipeline: crude oil,18239.0
2018,b) Freight transport (Mn tkm),transport via pipeline: crude oil,17225.0
