Year,Units,timeseries,sex,Value
2015,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),,4.65
2017,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),,3.66
2019,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),,4.67
2010,number,private persons (donors) suspected in the context of corruption offences,,354.0
2011,number,private persons (donors) suspected in the context of corruption offences,,295.0
2012,number,private persons (donors) suspected in the context of corruption offences,,163.0
2013,number,private persons (donors) suspected in the context of corruption offences,,222.0
2014,number,private persons (donors) suspected in the context of corruption offences,,121.0
2015,number,private persons (donors) suspected in the context of corruption offences,,148.0
2015,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),female,4.89
2017,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),female,3.75
2019,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),female,4.62
2015,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),male,4.36
2017,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),male,3.57
2019,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),male,4.56
2019,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),divers,28.0
