Year,Units,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"Per 100,000 inhabitants",,,,,,4.7
2011,"Per 100,000 inhabitants",,,,,,5.23
2012,"Per 100,000 inhabitants",,,,,,4.79
2013,"Per 100,000 inhabitants",,,,,,4.32
2014,"Per 100,000 inhabitants",,,,,,4.24
2015,"Per 100,000 inhabitants",,,,,,4.15
2016,"Per 100,000 inhabitants",,,,,,3.78
2017,"Per 100,000 inhabitants",,,,,,3.58
2018,"Per 100,000 inhabitants",,,,,,3.71
2019,"Per 100,000 inhabitants",,,,,,3.37
2020,"Per 100,000 inhabitants",,,,,,3.03
2021,"Per 100,000 inhabitants",,,,,,2.8
2022,"Per 100,000 inhabitants",,,,,,3.08
2023,"Per 100,000 inhabitants",,,,,,3.04
2024,"Per 100,000 inhabitants",,,,,,3.24
2010,"Per 100,000 inhabitants",14 years and younger,,,,,0.93
2011,"Per 100,000 inhabitants",14 years and younger,,,,,0.83
2012,"Per 100,000 inhabitants",14 years and younger,,,,,0.7
2013,"Per 100,000 inhabitants",14 years and younger,,,,,0.51
2014,"Per 100,000 inhabitants",14 years and younger,,,,,0.7
2015,"Per 100,000 inhabitants",14 years and younger,,,,,0.58
2016,"Per 100,000 inhabitants",14 years and younger,,,,,0.6
2017,"Per 100,000 inhabitants",14 years and younger,,,,,0.43
2018,"Per 100,000 inhabitants",14 years and younger,,,,,0.53
2019,"Per 100,000 inhabitants",14 years and younger,,,,,0.39
2020,"Per 100,000 inhabitants",14 years and younger,,,,,0.32
2021,"Per 100,000 inhabitants",14 years and younger,,,,,0.31
2022,"Per 100,000 inhabitants",14 years and younger,,,,,0.36
2023,"Per 100,000 inhabitants",14 years and younger,,,,,0.21
2024,"Per 100,000 inhabitants",14 years and younger,,,,,0.45
2010,"Per 100,000 inhabitants",15 to under 25 years,,,,,8.66
2011,"Per 100,000 inhabitants",15 to under 25 years,,,,,9.59
2012,"Per 100,000 inhabitants",15 to under 25 years,,,,,8.56
2013,"Per 100,000 inhabitants",15 to under 25 years,,,,,6.69
2014,"Per 100,000 inhabitants",15 to under 25 years,,,,,6.82
2015,"Per 100,000 inhabitants",15 to under 25 years,,,,,5.99
2016,"Per 100,000 inhabitants",15 to under 25 years,,,,,5.39
2017,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.84
2018,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.74
2019,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.47
2020,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.18
2021,"Per 100,000 inhabitants",15 to under 25 years,,,,,3.64
2022,"Per 100,000 inhabitants",15 to under 25 years,,,,,3.51
2023,"Per 100,000 inhabitants",15 to under 25 years,,,,,3.39
2024,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.01
2010,"Per 100,000 inhabitants",25 to under 35 years,,,,,5.23
2011,"Per 100,000 inhabitants",25 to under 35 years,,,,,5.69
2012,"Per 100,000 inhabitants",25 to under 35 years,,,,,4.96
2013,"Per 100,000 inhabitants",25 to under 35 years,,,,,4.4
2014,"Per 100,000 inhabitants",25 to under 35 years,,,,,4.21
2015,"Per 100,000 inhabitants",25 to under 35 years,,,,,3.94
2016,"Per 100,000 inhabitants",25 to under 35 years,,,,,3.28
2017,"Per 100,000 inhabitants",25 to under 35 years,,,,,3.22
2018,"Per 100,000 inhabitants",25 to under 35 years,,,,,3.19
2019,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.94
2020,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.83
2021,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.36
2022,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.4
2023,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.47
2024,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.38
2010,"Per 100,000 inhabitants",35 to under 45 years,,,,,3.46
2011,"Per 100,000 inhabitants",35 to under 45 years,,,,,3.82
2012,"Per 100,000 inhabitants",35 to under 45 years,,,,,3.36
2013,"Per 100,000 inhabitants",35 to under 45 years,,,,,3.37
2014,"Per 100,000 inhabitants",35 to under 45 years,,,,,2.91
2015,"Per 100,000 inhabitants",35 to under 45 years,,,,,3.24
2016,"Per 100,000 inhabitants",35 to under 45 years,,,,,2.68
2017,"Per 100,000 inhabitants",35 to under 45 years,,,,,2.55
