Year,timeseries,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,dtp vaccination coverage at school entry,,,,,95.2
2011,dtp vaccination coverage at school entry,,,,,95.6
2012,dtp vaccination coverage at school entry,,,,,95.8
2013,dtp vaccination coverage at school entry,,,,,96.2
2014,dtp vaccination coverage at school entry,,,,,95.7
2015,dtp vaccination coverage at school entry,,,,,95.2
2016,dtp vaccination coverage at school entry,,,,,94.5
2017,dtp vaccination coverage at school entry,,,,,93.5
2018,dtp vaccination coverage at school entry,,,,,93.0
2019,dtp vaccination coverage at school entry,,,,,92.7
2020,dtp vaccination coverage at school entry,,r,,,92.4
2021,dtp vaccination coverage at school entry,,.,,,
2022,dtp vaccination coverage at school entry,,.,,,
2023,dtp vaccination coverage at school entry,,…,,,
2010,measles vaccination coverage at school entry,,,,,91.5
2011,measles vaccination coverage at school entry,,,,,92.1
2012,measles vaccination coverage at school entry,,,,,92.4
2013,measles vaccination coverage at school entry,,,,,92.6
2014,measles vaccination coverage at school entry,,,,,92.8
2015,measles vaccination coverage at school entry,,,,,92.8
2016,measles vaccination coverage at school entry,,,,,92.9
2017,measles vaccination coverage at school entry,,,,,92.8
2018,measles vaccination coverage at school entry,,,,,93.1
2019,measles vaccination coverage at school entry,,,,,92.7
2020,measles vaccination coverage at school entry,,,,,93.2
2021,measles vaccination coverage at school entry,,.,,,
2022,measles vaccination coverage at school entry,,.,,,
2023,measles vaccination coverage at school entry,,…,,,
2010,pneumococcal vaccination coverage at school entry,,,,,15.2
2011,pneumococcal vaccination coverage at school entry,,,,,41.0
2012,pneumococcal vaccination coverage at school entry,,,,,68.3
2013,pneumococcal vaccination coverage at school entry,,,,,84.5
2014,pneumococcal vaccination coverage at school entry,,,,,85.3
2015,pneumococcal vaccination coverage at school entry,,,,,86.1
2016,pneumococcal vaccination coverage at school entry,,,,,84.4
2017,pneumococcal vaccination coverage at school entry,,,,,83.8
2018,pneumococcal vaccination coverage at school entry,,,,,83.1
2019,pneumococcal vaccination coverage at school entry,,,,,83.4
2020,pneumococcal vaccination coverage at school entry,,,,,82.2
2021,pneumococcal vaccination coverage at school entry,,.,,,
2022,pneumococcal vaccination coverage at school entry,,.,,,
2023,pneumococcal vaccination coverage at school entry,,…,,,
2010,hpv vaccination coverages among 15 years old girls and boys,female,.,,,
2011,hpv vaccination coverages among 15 years old girls and boys,female,,,,27.2
2012,hpv vaccination coverages among 15 years old girls and boys,female,,,,27.2
2013,hpv vaccination coverages among 15 years old girls and boys,female,r,,,29.4
2014,hpv vaccination coverages among 15 years old girls and boys,female,,,,31.3
2015,hpv vaccination coverages among 15 years old girls and boys,female,r,,,33.5
2016,hpv vaccination coverages among 15 years old girls and boys,female,r,,,36.2
2017,hpv vaccination coverages among 15 years old girls and boys,female,r,,,39.5
2018,hpv vaccination coverages among 15 years old girls and boys,female,r,,,42.6
2019,hpv vaccination coverages among 15 years old girls and boys,female,,,,47.2
2020,hpv vaccination coverages among 15 years old girls and boys,female,,,,51.0
2021,hpv vaccination coverages among 15 years old girls and boys,female,,,,53.4
2022,hpv vaccination coverages among 15 years old girls and boys,female,,,,54.4
2023,hpv vaccination coverages among 15 years old girls and boys,female,,,,54.6
2010,hpv vaccination coverages among 15 years old girls and boys,male,.,,,
2011,hpv vaccination coverages among 15 years old girls and boys,male,.,,,
2012,hpv vaccination coverages among 15 years old girls and boys,male,.,,,
2013,hpv vaccination coverages among 15 years old girls and boys,male,.,,,
2014,hpv vaccination coverages among 15 years old girls and boys,male,.,,,
2015,hpv vaccination coverages among 15 years old girls and boys,male,.,,,
2016,hpv vaccination coverages among 15 years old girls and boys,male,.,,,
2017,hpv vaccination coverages among 15 years old girls and boys,male,.,,,
2018,hpv vaccination coverages among 15 years old girls and boys,male,,,,0.9
2019,hpv vaccination coverages among 15 years old girls and boys,male,,,,5.1
2020,hpv vaccination coverages among 15 years old girls and boys,male,,,,17.0
2021,hpv vaccination coverages among 15 years old girls and boys,male,,,,26.2
2022,hpv vaccination coverages among 15 years old girls and boys,male,,,,30.8
2023,hpv vaccination coverages among 15 years old girls and boys,male,,,,34.0
