Year,Units,time series,Value
2010,million eur,gross disbursements (oda and oof),2626.5
2011,million eur,gross disbursements (oda and oof),2524.3
2012,million eur,gross disbursements (oda and oof),2254.5
2013,million eur,gross disbursements (oda and oof),2648.3
2014,million eur,gross disbursements (oda and oof),3458.8
2015,million eur,gross disbursements (oda and oof),4346.0
2016,million eur,gross disbursements (oda and oof),3736.1
2017,million eur,gross disbursements (oda and oof),3736.6
2018,million eur,gross disbursements (oda and oof),3850.8
2019,million eur,gross disbursements (oda and oof),4099.2
2020,million eur,gross disbursements (oda and oof),4230.2
2021,million eur,gross disbursements (oda and oof),4040.7
2022,million eur,gross disbursements (oda and oof),4862.6
2010,million eur,gross disbursements (oda),1927.2
2011,million eur,gross disbursements (oda),1808.9
2012,million eur,gross disbursements (oda),1488.2
2013,million eur,gross disbursements (oda),2046.5
2014,million eur,gross disbursements (oda),2918.9
2015,million eur,gross disbursements (oda),3768.4
2016,million eur,gross disbursements (oda),3304.0
2017,million eur,gross disbursements (oda),3048.7
2018,million eur,gross disbursements (oda),3016.5
2019,million eur,gross disbursements (oda),3309.2
2020,million eur,gross disbursements (oda),3632.4
2021,million eur,gross disbursements (oda),3403.5
2022,million eur,gross disbursements (oda),4217.9
2010,"million usd, constant prices (2021)",gross disbursements (oda and oof),3789.7
2011,"million usd, constant prices (2021)",gross disbursements (oda and oof),3603.4
2012,"million usd, constant prices (2021)",gross disbursements (oda and oof),3170.9
2013,"million usd, constant prices (2021)",gross disbursements (oda and oof),3653.1
2014,"million usd, constant prices (2021)",gross disbursements (oda and oof),4683.7
2015,"million usd, constant prices (2021)",gross disbursements (oda and oof),5777.7
2016,"million usd, constant prices (2021)",gross disbursements (oda and oof),4901.6
2017,"million usd, constant prices (2021)",gross disbursements (oda and oof),4829.5
2018,"million usd, constant prices (2021)",gross disbursements (oda and oof),4879.4
2019,"million usd, constant prices (2021)",gross disbursements (oda and oof),5086.1
2020,"million usd, constant prices (2021)",gross disbursements (oda and oof),5155.5
2021,"million usd, constant prices (2021)",gross disbursements (oda and oof),4778.5
2022,"million usd, constant prices (2021)",gross disbursements (oda and oof),5440.6
2010,"million usd, constant prices (2021)",gross disbursements (oda),2780.8
2011,"million usd, constant prices (2021)",gross disbursements (oda),2582.1
2012,"million usd, constant prices (2021)",gross disbursements (oda),2093.1
2013,"million usd, constant prices (2021)",gross disbursements (oda),2823.0
2014,"million usd, constant prices (2021)",gross disbursements (oda),3952.5
2015,"million usd, constant prices (2021)",gross disbursements (oda),5009.7
2016,"million usd, constant prices (2021)",gross disbursements (oda),4334.8
2017,"million usd, constant prices (2021)",gross disbursements (oda),3940.5
2018,"million usd, constant prices (2021)",gross disbursements (oda),3822.2
2019,"million usd, constant prices (2021)",gross disbursements (oda),4105.9
2020,"million usd, constant prices (2021)",gross disbursements (oda),4427.0
2021,"million usd, constant prices (2021)",gross disbursements (oda),4024.9
2022,"million usd, constant prices (2021)",gross disbursements (oda),4719.3
