Year,timeseries,Value
2010,oda and oof (gross disbursements) to infrastructure,3068.8
2011,oda and oof (gross disbursements) to infrastructure,2773.3
2012,oda and oof (gross disbursements) to infrastructure,2504.9
2013,oda and oof (gross disbursements) to infrastructure,2973.1
2014,oda and oof (gross disbursements) to infrastructure,4050.1
2015,oda and oof (gross disbursements) to infrastructure,4738.2
2016,oda and oof (gross disbursements) to infrastructure,4235.8
2017,oda and oof (gross disbursements) to infrastructure,3931.7
2018,oda and oof (gross disbursements) to infrastructure,4128.9
2019,oda and oof (gross disbursements) to infrastructure,4577.3
2010,oda (gross disbursements) to infrastructure,2559.2
2011,oda (gross disbursements) to infrastructure,2376.3
2012,oda (gross disbursements) to infrastructure,1926.3
2013,oda (gross disbursements) to infrastructure,2598.0
2014,oda (gross disbursements) to infrastructure,2637.4
2015,oda (gross disbursements) to infrastructure,4616.1
2016,oda (gross disbursements) to infrastructure,4000.1
2017,oda (gross disbursements) to infrastructure,3652.6
2018,oda (gross disbursements) to infrastructure,3560.1
2019,oda (gross disbursements) to infrastructure,3832.2
