Year,Value,Units,Series
2010,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2011,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2012,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2013,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2014,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2015,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2016,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2017,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2018,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2019,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2020,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2021,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2022,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2023,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2024,1.0,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2010,,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2011,,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2012,,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2013,,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2014,,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2015,,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2016,1.0,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2017,1.0,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2018,1.0,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2019,1.0,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2020,1.0,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2021,1.0,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2022,1.0,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2023,1.0,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2024,1.0,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2010,,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2011,,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2012,,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2013,,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2014,,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
