Year,Value,Series
2010,353.2,co₂ emissions per real gdp
2011,330.2,co₂ emissions per real gdp
2012,330.7,co₂ emissions per real gdp
2013,336.3,co₂ emissions per real gdp
2014,313.7,co₂ emissions per real gdp
2015,310.3,co₂ emissions per real gdp
2016,305.4,co₂ emissions per real gdp
2017,291.9,co₂ emissions per real gdp
2018,277.4,co₂ emissions per real gdp
2019,259.0,co₂ emissions per real gdp
2020,243.6,co₂ emissions per real gdp
2010,498.9,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2011,454.4,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2012,453.2,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2013,452.1,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2014,425.2,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2015,435.4,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2016,429.2,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2017,425.4,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2018,404.6,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2019,408.1,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2020,431.0,co₂ emissions per gross value added (price adjusted) in manufacturing industries
