Year,Value,Series
2018,,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2019,0.6,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2020,,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2010,3.0,implementation of the system of environmental-economic accounting (seea)
2011,3.0,implementation of the system of environmental-economic accounting (seea)
2012,3.0,implementation of the system of environmental-economic accounting (seea)
2013,3.0,implementation of the system of environmental-economic accounting (seea)
2014,3.0,implementation of the system of environmental-economic accounting (seea)
2015,3.0,implementation of the system of environmental-economic accounting (seea)
2016,3.0,implementation of the system of environmental-economic accounting (seea)
2017,3.0,implementation of the system of environmental-economic accounting (seea)
2018,3.0,implementation of the system of environmental-economic accounting (seea)
2019,3.0,implementation of the system of environmental-economic accounting (seea)
2020,3.0,implementation of the system of environmental-economic accounting (seea)
2021,3.0,implementation of the system of environmental-economic accounting (seea)
2022,3.0,implementation of the system of environmental-economic accounting (seea)
2023,3.0,implementation of the system of environmental-economic accounting (seea)
