Year,Time series,Value
2010,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,72.76
2011,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,72.76
2012,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,72.79
2013,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,72.79
2014,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,73.47
2015,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,73.47
2016,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,73.47
2017,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,73.47
2018,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,74.38
2019,Mountain Key Biodiversity Areas (KBAs) covered by protected areas,74.38
2010,"Mountain regions, covered by protected areas",50.58
2011,"Mountain regions, covered by protected areas",50.75
2012,"Mountain regions, covered by protected areas",50.93
2013,"Mountain regions, covered by protected areas",51.35
2014,"Mountain regions, covered by protected areas",51.68
2015,"Mountain regions, covered by protected areas",51.87
2016,"Mountain regions, covered by protected areas",52.49
2017,"Mountain regions, covered by protected areas",52.53
2018,"Mountain regions, covered by protected areas",53.49
2019,"Mountain regions, covered by protected areas",53.49
