Year,Units,Type of waste water,Treatment,Series,Value
2010,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2011,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2012,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2013,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2014,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2015,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2016,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2017,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2018,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2019,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2020,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2021,Percentage,,,Wastewater that is safely treated or does not require treatment,100.0
2010,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,11202690.0
2011,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,
2012,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,
2013,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,10912539.0
2014,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,
2015,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,
2016,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,10618410.0
2017,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,
2018,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,
2019,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater and cooling water,10127012.0
2010,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,1568324.0
2011,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,
2012,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,
2013,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,1513440.0
2014,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,
2015,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,
2016,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,1510666.0
2017,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,
2018,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,
2019,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater and cooling water,1601599.0
2010,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,9634366.0
2011,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,
2012,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,
2013,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,9399099.0
2014,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,
2015,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,
2016,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,9107744.0
2017,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,
2018,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,
2019,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater and cooling water,8525413.0
2010,1 000 m³,Cooling water,,Wastewater and cooling water,24153706.0
2011,1 000 m³,Cooling water,,Wastewater and cooling water,
2012,1 000 m³,Cooling water,,Wastewater and cooling water,
2013,1 000 m³,Cooling water,,Wastewater and cooling water,16582729.0
2014,1 000 m³,Cooling water,,Wastewater and cooling water,
2015,1 000 m³,Cooling water,,Wastewater and cooling water,
2016,1 000 m³,Cooling water,,Wastewater and cooling water,15725418.0
2017,1 000 m³,Cooling water,,Wastewater and cooling water,
2018,1 000 m³,Cooling water,,Wastewater and cooling water,
2019,1 000 m³,Cooling water,,Wastewater and cooling water,11848201.0
