Indicator,Disaggregation combinations using this value
#1-2-2,1
#1-a-2,2
#10-4-1,1
#10-b-1,6
#11-3-1,1
#11-4-1,1
#12-2-1,1
#12-2-2,2
#12-3-1,2
#12-4-2,2
#12-b-1,2
#12-c-1,4
#13-2-2,10
#14-7-1,1
#15-2-1,6
#15-7-1,1
#15-c-1,1
#16-1-1,1
#16-1-4,4
#16-2-2,9
#16-3-2,2
#16-7-1,1
#17-13-1,8
#17-17-1,2
#17-19-1,1
#17-6-1,1
#17-7-1,2
#2-4-1,8
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,3
#3-4-2,1
#3-5-1,6
#3-9-2,1
#3-b-1,2
#3-c-1,3
#3-d-2,2
#4-1-2,6
#4-2-2,3
#4-3-1,24
#4-5-1,1
#4-b-1,2
#5-2-1,1
#5-2-2,2
#5-6-2,1
#5-b-1,1
#6-4-2,2
#7-2-1,1
#7-3-1,2
#8-1-1,1
#8-10-1,1
#8-10-2,6
#8-2-1,1
#8-4-1,1
#8-4-2,2
#8-5-2,3
#8-6-1,2
#8-8-1,3
#8-9-1,1
#9-1-2,1
#9-2-1,3
#9-2-2,2
#9-4-1,1
#9-5-1,17
#9-b-1,3
