Indicator,Disaggregation combinations using this value
#10-b-1,6
#11-3-1,7
#11-6-2,2
#12-2-1,3
#12-2-2,3
#12-4-2,1
#12-b-1,2
#12-c-1,4
#13-2-2,11
#14-7-1,1
#14-a-1,1
#15-2-1,7
#15-7-1,1
#15-c-1,1
#16-1-1,1
#16-1-4,4
#16-3-2,2
#16-7-1,2
#17-13-1,2
#17-17-1,2
#17-19-1,1
#17-6-1,1
#2-4-1,8
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,3
#3-9-2,1
#3-b-1,1
#3-c-1,3
#3-d-2,2
#4-b-1,2
#5-2-1,1
#5-2-2,2
#5-6-2,1
#5-b-1,1
#6-4-2,2
#7-2-1,1
#7-3-1,1
#8-10-2,3
#8-4-1,3
#8-4-2,3
#8-5-2,2
#8-6-1,3
#8-9-1,1
#9-1-2,1
#9-3-1,1
#9-b-1,3
