Value,Disaggregation combinations using this value,Number of indicators
a) branches of payment service providers,1,1
agricultural holdings with the legal form of a sole proprietorship,2,1
annual growth rate of real gdp,2,1
at least one population and housing census in the last 10 years conducted,1,1
at-risk-of-poverty rate,6,1
available income of private households,2,1
b) atms of national payment service providers,2,1
basel convention,1,1
birth registration,1,1
bundesrat (upper chamber),2,1
child deliveries in hospitals,2,1
consumption by private households,2,1
current tobacco use (age-standardised to who standard population),1,1
current tobacco use,3,1
data from lfs from federal statistical office,6,1
data from na from federal statistical office,2,1
data from the federal ministry of food and agriculture,1,1
data from the federal statistical office,43,1
death registration,1,1
debts of the total public budget,2,1
dtp vaccination coverage at school entry,4,1
environmental protection expenditure,3,1
fatal occupational accidents,2,1
female owners of agricultural holdings with the legal form of a sole proprietorship,2,1
flowing water with good ecological status for total phosphorous,1,1
german bundestag (lower chamber),2,1
gini coefficient of equivalised disposable income before social transfers (pre-fiscal),2,1
gini coefficient of equivalised disposable income (post-fiscal),2,1
government fiscal balance,3,1
gross fixed capital formation,2,1
groundwater mesuring points below the threshold value for nitrate,1,1
hours worked by employees,2,1
hours worked by persons employed,2,1
hpv vaccination coverages among 15 years old girls and boys,5,1
judiciary,13,1
labour productivity per hour worked by employee,2,1
labour productivity per hour worked by persons employed,2,1
land consumption rate,7,1
level of risk of extinction (according to fao classification),6,1
level of risk of extinction (according to national classification),8,1
live births in total,1,1
"local livestock breeds (horses, cows, pigs, sheep and goats)",2,1
marine areas covered by effective protected areas,2,1
marine areas covered by protected areas,2,1
marine key biodiversity areas (kbas) covered by protected areas,2,1
measles vaccination coverage at school entry,3,1
minamata convention,1,1
montreal protocol,1,1
mountain key biodiversity areas (kbas) covered by protected areas,2,1
"mountain regions, covered by effective protected areas",2,1
"mountain regions, covered by protected areas",2,1
non-fatal occupational accidents,6,1
non-performing loans to total gross loans,2,1
oda (commitments) for biodiversity,4,2
oda (gross disbursements) for biodiversity,8,2
oda (gross disbursements) to the forestry sector,2,1
overweight,4,1
owned and leased agricultural land,6,1
persons at risk of poverty or social exclusion,6,1
persons employed,2,1
persons living in households with very low work intensity,8,1
pneumococcal vaccination coverage at school entry,3,1
population covered by health insurance,3,1
population growth rate,7,1
population who were exposed to physical violence,40,1
population who were exposed to sexual violence,30,1
population who were victims of criminal offences,2,1
population with (own) bathtub or shower,5,1
population with (own) toilet,5,1
proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),2,1
proportion of oda (net disbursements) to gni,2,1
proportion of settlement and transport areas to population,8,1
public service,26,1
ratio of land consumption rate to population growth rate,10,1
ratio of liquid assets to short-term liabilities,2,1
ratio of non-performing loans (net of risk provisions) to balance sheet capital,2,1
ratio of open foreign exchange position to regulatory capital,3,1
ratio of regulatory capital to all weighted risk positions,3,1
ratio of regulatory (tier 1) capital to all weighted risk positions,2,1
real gdp per capita,2,1
redistributive impact of fiscal policy,2,1
reporting rate for physical assault,19,1
reporting rate for robbery,17,1
rotterdam convention,1,1
score for the implementation of unclos and ist two implementing agreements,2,1
score for the ratification of and accession to unclos and ist two implementing agreements,2,1
severely materially and socially deprived persons,10,1
stockholm convention,1,1
terrestrial and freshwater areas covered by effective protected areas,2,1
terrestrial and freshwater areas covered by protected areas,2,1
terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,2,1
total return on assets,2,1
trade balance,2,1
unemployed persons with unemployment benefits,1,1
victims of criminal offences,8,1
victims of non-sexual harassment,36,1
victims of sexual harassment,36,1
wasting,4,1
working-age population,2,1
