Year,sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,10279
2011,,,,,11415
2012,,,,,11701
2013,,,,,11331
2014,,r,,,12659
2015,,,,,12117
2016,,,,,12824
2017,,,,,13263
2018,,,,,14747
2019,,,,,15577
2020,,,,,16070
2021,,,,,14209
2022,,p,,,15929
2010,general government,,,,2726
2011,general government,,,,3434
2012,general government,,,,3716
2013,general government,,,,3708
2014,general government,r,,,4271
2015,general government,,,,4051
2016,general government,,,,4594
2017,general government,,,,4245
2018,general government,,,,4625
2019,general government,,,,4979
2020,general government,,,,5028
2021,general government,,,,3589
2022,general government,p,,,3902
2010,corporations,,,,7553
2011,corporations,,,,7981
2012,corporations,,,,7985
2013,corporations,,,,7623
2014,corporations,,,,8388
2015,corporations,,,,8066
2016,corporations,,,,8230
2017,corporations,,,,9018
2018,corporations,,,,10123
2019,corporations,,,,10598
2020,corporations,,,,11042
2021,corporations,,,,10620
2022,corporations,p,,,12026
