Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Anzahl,.,,,
2011,Anzahl,.,,,
2012,Anzahl,.,,,
2013,Anzahl,.,,,
2014,Anzahl,.,,,
2015,Anzahl,.,,,
2016,Anzahl,.,,,
2017,Anzahl,.,,,
2018,Anzahl,r,,,22965.0
2019,Anzahl,r,,,22236.0
2020,Anzahl,r,,,21994.0
2021,Anzahl,r,,,22095.0
2022,Anzahl,r,,,27757.0
2023,Anzahl,r,,,28890.0
2024,Anzahl,,,,30147.0
2010,Prozent,.,,,
2011,Prozent,.,,,
2012,Prozent,.,,,
2013,Prozent,.,,,
2014,Prozent,.,,,
2015,Prozent,.,,,
2016,Prozent,.,,,
2017,Prozent,.,,,
2018,Prozent,r,,,0.06
2019,Prozent,r,,,0.06
2020,Prozent,r,,,0.06
2021,Prozent,r,,,0.06
2022,Prozent,r,,,0.08
2023,Prozent,r,,,0.08
2024,Prozent,,,,0.08
