Year,Value,Units,Series
2010,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2011,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2012,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2013,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2014,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2015,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2016,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2017,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2018,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2019,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2020,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2021,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2022,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2023,1.0,"yes=1, no=0",1) Countries that are contracting Parties to the International Treaty on PGRFA
2010,,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2011,,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2012,,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2013,,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2014,,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2015,,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2016,1.0,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2017,1.0,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2018,1.0,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2019,1.0,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2020,1.0,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2021,1.0,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2022,1.0,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2023,1.0,"yes=1, no=0",2) Countries that are parties to the Nagoya Protocol
2010,,"yes=1, no=0","3) Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on PGRFA"
2011,,"yes=1, no=0","3) Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on PGRFA"
2012,,"yes=1, no=0","3) Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on PGRFA"
2013,,"yes=1, no=0","3) Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on PGRFA"
