Year,Value,Units,Series
2010,1117240,Million passenger-kilometre,Passenger transport
2011,1131004,Million passenger-kilometre,Passenger transport
2010,627882,Million tonne-kilometres,Freight transport
2011,628047,Million tonne-kilometres,Freight transport
2012,618179,Million tonne-kilometres,Freight transport
2013,634973,Million tonne-kilometres,Freight transport
2014,642604,Million tonne-kilometres,Freight transport
2015,655708,Million tonne-kilometres,Freight transport
2016,686388,Million tonne-kilometres,Freight transport
2017,702090,Million tonne-kilometres,Freight transport
2018,702636,Million tonne-kilometres,Freight transport
2019,707002,Million tonne-kilometres,Freight transport
2020,679988,Million tonne-kilometres,Freight transport
2021,712443,Million tonne-kilometres,Freight transport
2022,710911,Million tonne-kilometres,Freight transport
2023,675473,Million tonne-kilometres,Freight transport
2024,671136,Million tonne-kilometres,Freight transport
