Year,Value,Units,Series
2010,1117240,Million passenger-kilometre,Passenger transport
2011,1131004,Million passenger-kilometre,Passenger transport
2012,1135558,Million passenger-kilometre,Passenger transport
2013,1143475,Million passenger-kilometre,Passenger transport
2014,1162942,Million passenger-kilometre,Passenger transport
2015,1180646,Million passenger-kilometre,Passenger transport
2016,1204775,Million passenger-kilometre,Passenger transport
2017,1155136,Million passenger-kilometre,Passenger transport
2018,1161885,Million passenger-kilometre,Passenger transport
2019,1170186,Million passenger-kilometre,Passenger transport
2020,921937,Million passenger-kilometre,Passenger transport
2021,962304,Million passenger-kilometre,Passenger transport
2022,1065901,Million passenger-kilometre,Passenger transport
2010,627882,Million tonne-kilometres,Freight transport
2011,628083,Million tonne-kilometres,Freight transport
2012,618179,Million tonne-kilometres,Freight transport
2013,634973,Million tonne-kilometres,Freight transport
2014,642604,Million tonne-kilometres,Freight transport
2015,655708,Million tonne-kilometres,Freight transport
2016,676893,Million tonne-kilometres,Freight transport
2017,692578,Million tonne-kilometres,Freight transport
2018,694963,Million tonne-kilometres,Freight transport
2019,697942,Million tonne-kilometres,Freight transport
2020,671760,Million tonne-kilometres,Freight transport
2021,702360,Million tonne-kilometres,Freight transport
2022,703029,Million tonne-kilometres,Freight transport
