Year,Value,Series
2010,353.2,CO₂ emissions per real GDP
2011,330.2,CO₂ emissions per real GDP
2012,330.7,CO₂ emissions per real GDP
2013,336.3,CO₂ emissions per real GDP
2014,313.7,CO₂ emissions per real GDP
2015,310.3,CO₂ emissions per real GDP
2016,305.4,CO₂ emissions per real GDP
2017,291.9,CO₂ emissions per real GDP
2018,277.4,CO₂ emissions per real GDP
2019,259.0,CO₂ emissions per real GDP
2020,243.6,CO₂ emissions per real GDP
2010,498.9,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2011,454.4,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2012,453.2,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2013,452.1,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2014,425.2,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2015,435.4,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2016,429.2,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2017,425.4,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2018,404.6,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2019,408.1,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2020,431.0,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
