Year,Value,Series
2010,10.6,Renewable energy in total final energy consumption
2011,11.5,Renewable energy in total final energy consumption
2012,11.9,Renewable energy in total final energy consumption
2013,12.0,Renewable energy in total final energy consumption
2014,13.2,Renewable energy in total final energy consumption
2015,14.0,Renewable energy in total final energy consumption
2016,14.0,Renewable energy in total final energy consumption
2017,14.9,Renewable energy in total final energy consumption
2010,11.4,Renewable energy in gross final energy consumption
2011,12.5,Renewable energy in gross final energy consumption
2012,13.6,Renewable energy in gross final energy consumption
2013,13.7,Renewable energy in gross final energy consumption
2014,14.3,Renewable energy in gross final energy consumption
2015,15.1,Renewable energy in gross final energy consumption
2016,14.9,Renewable energy in gross final energy consumption
2017,16.0,Renewable energy in gross final energy consumption
2018,16.8,Renewable energy in gross final energy consumption
2019,17.7,Renewable energy in gross final energy consumption
2020,19.4,Renewable energy in gross final energy consumption
2021,18.8,Renewable energy in gross final energy consumption
2022,20.3,Renewable energy in gross final energy consumption
