Year,Units,time series,Value
2010,million eur,commitments (oda),841.3
2011,million eur,commitments (oda),1037.4
2012,million eur,commitments (oda),1532.1
2013,million eur,commitments (oda),1318.0
2014,million eur,commitments (oda),1293.6
2015,million eur,commitments (oda),1514.9
2016,million eur,commitments (oda),1676.8
2017,million eur,commitments (oda),2097.2
2018,million eur,commitments (oda),2348.3
2019,million eur,commitments (oda),2500.7
2020,million eur,commitments (oda),3455.1
2021,million eur,commitments (oda),4384.1
2022,million eur,commitments (oda),4442.6
2010,million eur,gross disbursements (oda),778.1
2011,million eur,gross disbursements (oda),800.4
2012,million eur,gross disbursements (oda),815.8
2013,million eur,gross disbursements (oda),828.7
2014,million eur,gross disbursements (oda),1094.8
2015,million eur,gross disbursements (oda),1299.0
2016,million eur,gross disbursements (oda),1657.0
2017,million eur,gross disbursements (oda),1632.4
2018,million eur,gross disbursements (oda),1681.2
2019,million eur,gross disbursements (oda),1864.7
2020,million eur,gross disbursements (oda),3189.8
2021,million eur,gross disbursements (oda),3363.4
2022,million eur,gross disbursements (oda),4472.9
2010,"million usd, constant prices (2021)",commitments (oda),1214.0
2011,"million usd, constant prices (2021)",commitments (oda),1480.9
2012,"million usd, constant prices (2021)",commitments (oda),2154.9
2013,"million usd, constant prices (2021)",commitments (oda),1818.1
2014,"million usd, constant prices (2021)",commitments (oda),1751.7
2015,"million usd, constant prices (2021)",commitments (oda),2013.9
2016,"million usd, constant prices (2021)",commitments (oda),2199.9
2017,"million usd, constant prices (2021)",commitments (oda),2710.7
2018,"million usd, constant prices (2021)",commitments (oda),2975.5
2019,"million usd, constant prices (2021)",commitments (oda),3102.7
2020,"million usd, constant prices (2021)",commitments (oda),4210.8
2021,"million usd, constant prices (2021)",commitments (oda),5184.6
2022,"million usd, constant prices (2021)",commitments (oda),4970.7
2010,"million usd, constant prices (2021)",gross disbursements (oda),1122.7
2011,"million usd, constant prices (2021)",gross disbursements (oda),1142.6
2012,"million usd, constant prices (2021)",gross disbursements (oda),1147.4
2013,"million usd, constant prices (2021)",gross disbursements (oda),1143.1
2014,"million usd, constant prices (2021)",gross disbursements (oda),1482.5
2015,"million usd, constant prices (2021)",gross disbursements (oda),1726.9
2016,"million usd, constant prices (2021)",gross disbursements (oda),2174.0
2017,"million usd, constant prices (2021)",gross disbursements (oda),2109.8
2018,"million usd, constant prices (2021)",gross disbursements (oda),2130.2
2019,"million usd, constant prices (2021)",gross disbursements (oda),2313.6
2020,"million usd, constant prices (2021)",gross disbursements (oda),3887.5
2021,"million usd, constant prices (2021)",gross disbursements (oda),3977.6
2022,"million usd, constant prices (2021)",gross disbursements (oda),5004.6
