Year,timeseries,Value
2010,proportion of domestic expenditures funded by national taxes (%),45.3
2011,proportion of domestic expenditures funded by national taxes (%),49.4
2012,proportion of domestic expenditures funded by national taxes (%),50.9
2013,proportion of domestic expenditures funded by national taxes (%),51.2
2014,proportion of domestic expenditures funded by national taxes (%),51.5
2015,proportion of domestic expenditures funded by national taxes (%),52.3
2016,proportion of domestic expenditures funded by national taxes (%),52.7
2017,proportion of domestic expenditures funded by national taxes (%),53.2
2018,proportion of domestic expenditures funded by national taxes (%),53.7
2019,proportion of domestic expenditures funded by national taxes (%),53.1
2020,proportion of domestic expenditures funded by national taxes (%),45.0
2010,proportion of domestic expenditures funded by national taxes and insurance contributions (%),79.9
2011,proportion of domestic expenditures funded by national taxes and insurance contributions (%),85.7
2012,proportion of domestic expenditures funded by national taxes and insurance contributions (%),87.8
2013,proportion of domestic expenditures funded by national taxes and insurance contributions (%),88.0
2014,proportion of domestic expenditures funded by national taxes and insurance contributions (%),88.7
2015,proportion of domestic expenditures funded by national taxes and insurance contributions (%),89.8
2016,proportion of domestic expenditures funded by national taxes and insurance contributions (%),90.4
2017,proportion of domestic expenditures funded by national taxes and insurance contributions (%),91.4
2018,proportion of domestic expenditures funded by national taxes and insurance contributions (%),92.1
2019,proportion of domestic expenditures funded by national taxes and insurance contributions (%),91.4
2020,proportion of domestic expenditures funded by national taxes and insurance contributions (%),80.5
