Year,Units,timeseries,Value
2010,percentage,annual growth rate of real gdp,4.2
2011,percentage,annual growth rate of real gdp,3.9
2012,percentage,annual growth rate of real gdp,0.4
2013,percentage,annual growth rate of real gdp,0.4
2014,percentage,annual growth rate of real gdp,2.2
2015,percentage,annual growth rate of real gdp,1.5
2016,percentage,annual growth rate of real gdp,2.2
2017,percentage,annual growth rate of real gdp,2.7
2018,percentage,annual growth rate of real gdp,1.0
2019,percentage,annual growth rate of real gdp,1.1
2020,percentage,annual growth rate of real gdp,-3.8
2021,percentage,annual growth rate of real gdp,3.2
2022,percentage,annual growth rate of real gdp,1.8
2010,billion eur,available income of private households,1525.6
2011,billion eur,available income of private households,1577.6
2012,billion eur,available income of private households,1614.0
2013,billion eur,available income of private households,1637.0
2014,billion eur,available income of private households,1678.0
2015,billion eur,available income of private households,1724.5
2016,billion eur,available income of private households,1784.9
2017,billion eur,available income of private households,1844.5
2018,billion eur,available income of private households,1920.3
2019,billion eur,available income of private households,1961.2
2020,billion eur,available income of private households,1987.0
2021,billion eur,available income of private households,2035.6
2022,billion eur,available income of private households,2164.5
2010,billion eur,consumption by private households,1372.9
2011,billion eur,consumption by private households,1423.6
2012,billion eur,consumption by private households,1465.9
2013,billion eur,consumption by private households,1492.5
2014,billion eur,consumption by private households,1521.1
2015,billion eur,consumption by private households,1559.4
2016,billion eur,consumption by private households,1608.2
2017,billion eur,consumption by private households,1654.6
2018,billion eur,consumption by private households,1703.4
2019,billion eur,consumption by private households,1752.9
2020,billion eur,consumption by private households,1654.5
2021,billion eur,consumption by private households,1730.7
2022,billion eur,consumption by private households,1921.6
2010,billion eur,debts of the total public budget,2011.7
2011,billion eur,debts of the total public budget,2025.4
2012,billion eur,debts of the total public budget,2068.3
2013,billion eur,debts of the total public budget,2043.3
2014,billion eur,debts of the total public budget,2043.9
2015,billion eur,debts of the total public budget,2020.7
2016,billion eur,debts of the total public budget,2009.3
2017,billion eur,debts of the total public budget,1969.1
2018,billion eur,debts of the total public budget,1915.8
2019,billion eur,debts of the total public budget,1899.1
2020,billion eur,debts of the total public budget,2172.9
2021,billion eur,debts of the total public budget,2321.0
2022,billion eur,debts of the total public budget,2368.0
2010,billion eur,government fiscal balance,-112.3
2011,billion eur,government fiscal balance,-23.7
2012,billion eur,government fiscal balance,0.3
2013,billion eur,government fiscal balance,1.1
2014,billion eur,government fiscal balance,17.0
2015,billion eur,government fiscal balance,29.1
2016,billion eur,government fiscal balance,36.4
2017,billion eur,government fiscal balance,43.7
2018,billion eur,government fiscal balance,65.6
2019,billion eur,government fiscal balance,53.0
2020,billion eur,government fiscal balance,-147.7
2021,billion eur,government fiscal balance,-129.7
2022,billion eur,government fiscal balance,-96.9
2010,billion eur,gross fixed capital formation,501.1
2011,billion eur,gross fixed capital formation,548.7
2012,billion eur,gross fixed capital formation,557.9
2013,billion eur,gross fixed capital formation,559.5
2014,billion eur,gross fixed capital formation,586.7
2015,billion eur,gross fixed capital formation,605.8
2016,billion eur,gross fixed capital formation,636.3
2017,billion eur,gross fixed capital formation,666.9
2018,billion eur,gross fixed capital formation,708.9
2019,billion eur,gross fixed capital formation,740.5
2020,billion eur,gross fixed capital formation,733.2
2021,billion eur,gross fixed capital formation,770.5
2022,billion eur,gross fixed capital formation,856.2
2010,million hours,hours worked by employees,49314.0
2011,million hours,hours worked by employees,50102.0
2012,million hours,hours worked by employees,50100.0
2013,million hours,hours worked by employees,50220.0
2014,million hours,hours worked by employees,51032.0
2015,million hours,hours worked by employees,51754.0
2016,million hours,hours worked by employees,52451.0
2017,million hours,hours worked by employees,53219.0
2018,million hours,hours worked by employees,53876.0
2019,million hours,hours worked by employees,54304.1
2020,million hours,hours worked by employees,52000.3
2021,million hours,hours worked by employees,53517.7
2022,million hours,hours worked by employees,54316.7
2010,million hours,hours worked by persons employed,58524.0
2011,million hours,hours worked by persons employed,59279.0
2012,million hours,hours worked by persons employed,59162.0
2013,million hours,hours worked by persons employed,59140.0
2014,million hours,hours worked by persons employed,59827.0
2015,million hours,hours worked by persons employed,60412.0
2016,million hours,hours worked by persons employed,60933.0
2017,million hours,hours worked by persons employed,61471.0
2018,million hours,hours worked by persons employed,61945.0
2019,million hours,hours worked by persons employed,62168.0
2020,million hours,hours worked by persons employed,59104.0
2021,million hours,hours worked by persons employed,60623.0
2022,million hours,hours worked by persons employed,61410.0
2010,2015 = 100,labour productivity per hour worked by employee,96.5
2011,2015 = 100,labour productivity per hour worked by employee,98.7
2012,2015 = 100,labour productivity per hour worked by employee,99.1
2013,2015 = 100,labour productivity per hour worked by employee,99.3
2014,2015 = 100,labour productivity per hour worked by employee,99.9
2015,2015 = 100,labour productivity per hour worked by employee,100.0
