Year,timeseries,Value
2010,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1187.6
2011,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1037.9
2012,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),935.9
2013,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1036.1
2014,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1357.2
2015,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1885.0
2016,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1507.1
2017,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),2490.3
2018,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1983.0
2019,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),2097.1
2010,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),875.1
2011,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),902.7
2012,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),939.6
2013,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1016.3
2014,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1130.4
2015,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1555.2
2016,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1426.9
2017,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1787.4
2018,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),2032.9
2019,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1759.1
