Year,Units,type of biomass,Series,Value
2010,million tonnes,,above-ground biomass stock in forest,1571.0
2011,million tonnes,,above-ground biomass stock in forest,1584.9
2012,million tonnes,,above-ground biomass stock in forest,1598.2
2013,million tonnes,,above-ground biomass stock in forest,1611.9
2014,million tonnes,,above-ground biomass stock in forest,1636.4
2015,million tonnes,,above-ground biomass stock in forest,1642.6
2016,million tonnes,,above-ground biomass stock in forest,1651.4
2017,million tonnes,,above-ground biomass stock in forest,1659.5
2018,million tonnes,,above-ground biomass stock in forest,1664.6
2019,million tonnes,,above-ground biomass stock in forest,1666.8
2020,million tonnes,,above-ground biomass stock in forest,1661.7
2012,percentage,,forest area located within protected areas,0.7
2015,percentage,,forest area located within protected areas,0.9
2018,percentage,,forest area located within protected areas,0.9
2010,percentage,,forest area net change rate,0.1
2011,percentage,,forest area net change rate,0.1
2012,percentage,,forest area net change rate,0.2
2013,percentage,,forest area net change rate,0.9
2014,percentage,,forest area net change rate,0.2
2015,percentage,,forest area net change rate,0.2
2016,percentage,,forest area net change rate,
2017,percentage,,forest area net change rate,0.2
2018,percentage,,forest area net change rate,0.2
2019,percentage,,forest area net change rate,0.0
2020,percentage,,forest area net change rate,0.1
2021,percentage,,forest area net change rate,0.1
2022,percentage,,forest area net change rate,0.2
2010,percentage,,forest area under an independently verified forest management certification scheme,67.5
2011,percentage,,forest area under an independently verified forest management certification scheme,67.2
2012,percentage,,forest area under an independently verified forest management certification scheme,66.9
2013,percentage,,forest area under an independently verified forest management certification scheme,66.9
2014,percentage,,forest area under an independently verified forest management certification scheme,66.6
2015,percentage,,forest area under an independently verified forest management certification scheme,66.2
2016,percentage,,forest area under an independently verified forest management certification scheme,66.9
2017,percentage,,forest area under an independently verified forest management certification scheme,67.2
2018,percentage,,forest area under an independently verified forest management certification scheme,68.6
2019,percentage,,forest area under an independently verified forest management certification scheme,69.1
2020,percentage,,forest area under an independently verified forest management certification scheme,73.9
2021,percentage,,forest area under an independently verified forest management certification scheme,79.2
2022,percentage,,forest area under an independently verified forest management certification scheme,79.4
2010,million tonnes,standig wood,above-ground biomass stock in forest,1075.0
2011,million tonnes,standig wood,above-ground biomass stock in forest,1084.6
2012,million tonnes,standig wood,above-ground biomass stock in forest,1093.7
2013,million tonnes,standig wood,above-ground biomass stock in forest,1103.1
2014,million tonnes,standig wood,above-ground biomass stock in forest,889.9
2015,million tonnes,standig wood,above-ground biomass stock in forest,893.6
2016,million tonnes,standig wood,above-ground biomass stock in forest,898.7
2017,million tonnes,standig wood,above-ground biomass stock in forest,903.4
2018,million tonnes,standig wood,above-ground biomass stock in forest,906.4
2019,million tonnes,standig wood,above-ground biomass stock in forest,908.0
2020,million tonnes,standig wood,above-ground biomass stock in forest,905.5
2010,million tonnes,other woody biomass,above-ground biomass stock in forest,252.2
2011,million tonnes,other woody biomass,above-ground biomass stock in forest,254.4
2012,million tonnes,other woody biomass,above-ground biomass stock in forest,256.6
2013,million tonnes,other woody biomass,above-ground biomass stock in forest,258.8
2014,million tonnes,other woody biomass,above-ground biomass stock in forest,492.5
2015,million tonnes,other woody biomass,above-ground biomass stock in forest,494.1
2016,million tonnes,other woody biomass,above-ground biomass stock in forest,496.5
2017,million tonnes,other woody biomass,above-ground biomass stock in forest,498.7
2018,million tonnes,other woody biomass,above-ground biomass stock in forest,499.9
2019,million tonnes,other woody biomass,above-ground biomass stock in forest,500.2
2020,million tonnes,other woody biomass,above-ground biomass stock in forest,498.3
2010,million tonnes,other biomass in forests,above-ground biomass stock in forest,243.8
2011,million tonnes,other biomass in forests,above-ground biomass stock in forest,246.0
2012,million tonnes,other biomass in forests,above-ground biomass stock in forest,248.0
2013,million tonnes,other biomass in forests,above-ground biomass stock in forest,250.0
2014,million tonnes,other biomass in forests,above-ground biomass stock in forest,253.9
2015,million tonnes,other biomass in forests,above-ground biomass stock in forest,254.8
2016,million tonnes,other biomass in forests,above-ground biomass stock in forest,256.2
2017,million tonnes,other biomass in forests,above-ground biomass stock in forest,257.5
2018,million tonnes,other biomass in forests,above-ground biomass stock in forest,258.3
2019,million tonnes,other biomass in forests,above-ground biomass stock in forest,258.6
2020,million tonnes,other biomass in forests,above-ground biomass stock in forest,257.8
