Year,Units,'time series ',type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2007,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2008,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2009,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2010,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2011,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2012,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2013,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2014,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2015,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2016,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2017,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2018,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2019,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2020,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2021,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2022,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2023,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2024,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2025,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2026,"yes=1, no=0",,,,,,(1) contracting party to the itpgrfa,1.0
2007,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,
2008,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,
2009,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,
2010,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0.0
2011,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0.0
2012,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0.0
2013,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0.0
2014,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0.0
2015,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0.0
2016,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2017,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2018,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2019,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2020,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2021,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2022,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2023,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2024,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2025,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2026,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1.0
2007,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,
