Year,Zeitreihe,Value
2010,Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung),133.1
2011,Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung),142.1
2012,Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung),140.5
2013,Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung),142.7
2014,Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung),138.7
2015,Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung),138.5
2016,Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung),157.4
2017,Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung),163.1
2018,Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung),165.1
2010,Privathaushalte mit mindestens einem Mobiltelefon,88.92
2011,Privathaushalte mit mindestens einem Mobiltelefon,90.0
2012,Privathaushalte mit mindestens einem Mobiltelefon,90.34
2013,Privathaushalte mit mindestens einem Mobiltelefon,92.71
2014,Privathaushalte mit mindestens einem Mobiltelefon,93.58
2015,Privathaushalte mit mindestens einem Mobiltelefon,93.53
2016,Privathaushalte mit mindestens einem Mobiltelefon,95.1
2017,Privathaushalte mit mindestens einem Mobiltelefon,95.47
2018,Privathaushalte mit mindestens einem Mobiltelefon,96.68
2019,Privathaushalte mit mindestens einem Mobiltelefon,97.02
