Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Megajoule pro EUR,r,,,5.4
2011,Megajoule pro EUR,r,,,4.9
2012,Megajoule pro EUR,r,,,4.9
2013,Megajoule pro EUR,r,,,4.8
2014,Megajoule pro EUR,r,,,4.4
2015,Megajoule pro EUR,r,,,4.3
2016,Megajoule pro EUR,r,,,4.2
2017,Megajoule pro EUR,r,,,4.1
2018,Megajoule pro EUR,r,,,3.8
2019,Megajoule pro EUR,r,,,3.6
2020,Megajoule pro EUR,,,,3.4
2021,Megajoule pro EUR,p,,,3.4
2022,Megajoule pro EUR,p,,,3.0
2023,Megajoule pro EUR,p,,,2.5
2010,2020 = 100,,,,132.9
2011,2020 = 100,,,,122.6
2012,2020 = 100,,,,122.9
2013,2020 = 100,,,,124.9
2014,2020 = 100,,,,116.4
2015,2020 = 100,,,,115.7
2016,2020 = 100,,,,114.2
2017,2020 = 100,,,,111.4
2018,2020 = 100,,,,107.4
2019,2020 = 100,,,,103.3
2020,2020 = 100,,,,100.0
2021,2020 = 100,p,,,101.0
2022,2020 = 100,p,,,93.5
2023,2020 = 100,p,,,85.3
