Year,Zeitreihe,Value
2010,Tiergenetische Ressourcen,
2011,Tiergenetische Ressourcen,
2012,Tiergenetische Ressourcen,
2013,Tiergenetische Ressourcen,
2014,Tiergenetische Ressourcen,
2015,Tiergenetische Ressourcen,
2016,Tiergenetische Ressourcen,
2017,Tiergenetische Ressourcen,28.0
2018,Tiergenetische Ressourcen,28.0
2010,Pflanzengenetische Ressourcen,
2011,Pflanzengenetische Ressourcen,
2012,Pflanzengenetische Ressourcen,
2013,Pflanzengenetische Ressourcen,
2014,Pflanzengenetische Ressourcen,174266.0
2015,Pflanzengenetische Ressourcen,
2016,Pflanzengenetische Ressourcen,174405.0
2017,Pflanzengenetische Ressourcen,177387.0
2018,Pflanzengenetische Ressourcen,179498.0
