Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Arten- und Landschaftsschutz (COFOG 5.4),,,,13.502068
2011,Arten- und Landschaftsschutz (COFOG 5.4),,,,15.023357
2012,Arten- und Landschaftsschutz (COFOG 5.4),,,,15.313802
2013,Arten- und Landschaftsschutz (COFOG 5.4),,,,15.934523
2014,Arten- und Landschaftsschutz (COFOG 5.4),,,,17.434805
2015,Arten- und Landschaftsschutz (COFOG 5.4),,,,17.689868
2016,Arten- und Landschaftsschutz (COFOG 5.4),,,,18.212467
2017,Arten- und Landschaftsschutz (COFOG 5.4),,,,19.551915
2018,Arten- und Landschaftsschutz (COFOG 5.4),,,,19.499251
2019,Arten- und Landschaftsschutz (COFOG 5.4),,,,21.118451
2020,Arten- und Landschaftsschutz (COFOG 5.4),,,,20.882546
2021,Arten- und Landschaftsschutz (COFOG 5.4),,,,22.233063
2022,Arten- und Landschaftsschutz (COFOG 5.4),p,,,23.216082
2023,Arten- und Landschaftsschutz (COFOG 5.4),p,,,28.707962
2024,Arten- und Landschaftsschutz (COFOG 5.4),p,,,30.077709
2025,Arten- und Landschaftsschutz (COFOG 5.4),p,,,30.8421256838412
2010,Kultur (COFOG 8.2),,,,122.116486
2011,Kultur (COFOG 8.2),,,,129.891
2012,Kultur (COFOG 8.2),,,,129.588854
2013,Kultur (COFOG 8.2),,,,134.605114
2014,Kultur (COFOG 8.2),,,,141.880681
2015,Kultur (COFOG 8.2),,,,142.354879
2016,Kultur (COFOG 8.2),,,,144.404949
2017,Kultur (COFOG 8.2),,,,151.234794
2018,Kultur (COFOG 8.2),,,,155.689716
2019,Kultur (COFOG 8.2),,,,166.514604
2020,Kultur (COFOG 8.2),,,,172.137934
2021,Kultur (COFOG 8.2),,,,167.290688
2022,Kultur (COFOG 8.2),p,,,182.747883
2023,Kultur (COFOG 8.2),p,,,194.243362968553
2024,Kultur (COFOG 8.2),p,,,216.446951
2025,Kultur (COFOG 8.2),p,,,219.474769375192
