Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,Jährliche Wachstumsrate des realen BIP,,,,4.1
2011,Prozent,Jährliche Wachstumsrate des realen BIP,,,,3.8
2012,Prozent,Jährliche Wachstumsrate des realen BIP,,,,0.5
2013,Prozent,Jährliche Wachstumsrate des realen BIP,,,,0.4
2014,Prozent,Jährliche Wachstumsrate des realen BIP,,,,2.2
2015,Prozent,Jährliche Wachstumsrate des realen BIP,,,,1.7
2016,Prozent,Jährliche Wachstumsrate des realen BIP,,,,2.3
2017,Prozent,Jährliche Wachstumsrate des realen BIP,,,,2.7
2018,Prozent,Jährliche Wachstumsrate des realen BIP,,,,1.1
2019,Prozent,Jährliche Wachstumsrate des realen BIP,,,,1.0
2020,Prozent,Jährliche Wachstumsrate des realen BIP,,,,-4.1
2021,Prozent,Jährliche Wachstumsrate des realen BIP,p,,,3.7
2022,Prozent,Jährliche Wachstumsrate des realen BIP,p,,,1.4
2023,Prozent,Jährliche Wachstumsrate des realen BIP,p,,,-0.3
2024,Prozent,Jährliche Wachstumsrate des realen BIP,p,,,-0.2
2010,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1578.1
2011,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1626.7
2012,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1660.8
2013,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1682.0
2014,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1726.7
2015,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1779.3
2016,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1834.4
2017,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1897.4
2018,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1973.8
2019,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,2022.1
2020,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,2025.4
2021,Milliarden EUR,Verfügbares Einkommen privater Haushalte,p,,,2085.2
2022,Milliarden EUR,Verfügbares Einkommen privater Haushalte,p,,,2249.8
2023,Milliarden EUR,Verfügbares Einkommen privater Haushalte,p,,,2404.6
2024,Milliarden EUR,Verfügbares Einkommen privater Haushalte,p,,,2501.7
2010,Milliarden EUR,Konsum privater Haushalte,,,,1417.1
2011,Milliarden EUR,Konsum privater Haushalte,,,,1463.0
2012,Milliarden EUR,Konsum privater Haushalte,,,,1503.4
2013,Milliarden EUR,Konsum privater Haushalte,,,,1528.8
2014,Milliarden EUR,Konsum privater Haushalte,,,,1560.4
2015,Milliarden EUR,Konsum privater Haushalte,,,,1604.9
2016,Milliarden EUR,Konsum privater Haushalte,,,,1651.7
2017,Milliarden EUR,Konsum privater Haushalte,,,,1704.0
2018,Milliarden EUR,Konsum privater Haushalte,,,,1757.5
2019,Milliarden EUR,Konsum privater Haushalte,,,,1813.7
2020,Milliarden EUR,Konsum privater Haushalte,,,,1695.6
2021,Milliarden EUR,Konsum privater Haushalte,p,,,1786.7
2022,Milliarden EUR,Konsum privater Haushalte,p,,,2018.0
2023,Milliarden EUR,Konsum privater Haushalte,p,,,2145.4
2024,Milliarden EUR,Konsum privater Haushalte,p,,,2207.1
2010,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2011.7
2011,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2025.4
2012,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2068.3
2013,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2043.3
2014,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2043.9
2015,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2020.7
2016,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2009.3
2017,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,1969.1
2018,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,1915.8
2019,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,1899.1
2020,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2172.9
2021,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2321.0
2022,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2368.0
2023,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2445.1
2024,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,…,,,
2010,Milliarden EUR,Finanzierungssaldo des Staates,,,,-115.6
2011,Milliarden EUR,Finanzierungssaldo des Staates,,,,-23.1
2012,Milliarden EUR,Finanzierungssaldo des Staates,,,,-1.5
2013,Milliarden EUR,Finanzierungssaldo des Staates,,,,3.5
2014,Milliarden EUR,Finanzierungssaldo des Staates,,,,21.8
2015,Milliarden EUR,Finanzierungssaldo des Staates,,,,28.2
2016,Milliarden EUR,Finanzierungssaldo des Staates,,,,36.2
2017,Milliarden EUR,Finanzierungssaldo des Staates,,,,44.6
2018,Milliarden EUR,Finanzierungssaldo des Staates,r,,,64.7
2019,Milliarden EUR,Finanzierungssaldo des Staates,,,,47.0
2020,Milliarden EUR,Finanzierungssaldo des Staates,,,,-151.1
2021,Milliarden EUR,Finanzierungssaldo des Staates,p,,,-116.4
2022,Milliarden EUR,Finanzierungssaldo des Staates,p,,,-84.9
2023,Milliarden EUR,Finanzierungssaldo des Staates,p,,,-103.8
2024,Milliarden EUR,Finanzierungssaldo des Staates,p,,,-115.6
2010,Milliarden EUR,Bruttoanlageinvestitionen,,,,501.8
2011,Milliarden EUR,Bruttoanlageinvestitionen,,,,549.6
2012,Milliarden EUR,Bruttoanlageinvestitionen,,,,558.9
2013,Milliarden EUR,Bruttoanlageinvestitionen,,,,561.2
2014,Milliarden EUR,Bruttoanlageinvestitionen,,,,590.4
2015,Milliarden EUR,Bruttoanlageinvestitionen,,,,609.6
2016,Milliarden EUR,Bruttoanlageinvestitionen,,,,640.4
2017,Milliarden EUR,Bruttoanlageinvestitionen,,,,671.1
2018,Milliarden EUR,Bruttoanlageinvestitionen,,,,714.9
2019,Milliarden EUR,Bruttoanlageinvestitionen,,,,748.2
2020,Milliarden EUR,Bruttoanlageinvestitionen,,,,736.5
2021,Milliarden EUR,Bruttoanlageinvestitionen,p,,,779.2
2022,Milliarden EUR,Bruttoanlageinvestitionen,p,,,858.3
2023,Milliarden EUR,Bruttoanlageinvestitionen,p,,,899.9
2024,Milliarden EUR,Bruttoanlageinvestitionen,p,,,898.5
