Year,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,,9.2
2011,,,,,,9.7
2012,,,,,,9.6
2013,,,,,,9.4
2014,,,,,,10.5
2015,,,,,,10.2
2016,,,,,,9.7
2017,,,,,,9.4
2018,,,,,,9.8
2019,,,,,,9.0
2020,,,|,,,10.2
2021,,,,,,9.9
2022,,,,,,8.5
2023,,,,,,8.3
2010,17 Jahre und jünger,,,,,9.4
2011,17 Jahre und jünger,,,,,8.0
2012,17 Jahre und jünger,,,,,7.8
2013,17 Jahre und jünger,,,,,7.2
2014,17 Jahre und jünger,,,,,8.2
2015,17 Jahre und jünger,,,,,7.8
2016,17 Jahre und jünger,,,,,7.8
2017,17 Jahre und jünger,,,,,6.9
2018,17 Jahre und jünger,,,,,7.6
2019,17 Jahre und jünger,,,,,5.7
2020,17 Jahre und jünger,,|,,,9.9
2021,17 Jahre und jünger,,,,,9.3
2022,17 Jahre und jünger,,,,,7.5
2023,17 Jahre und jünger,,,,,7.5
2010,18 bis unter 65 Jahre,,,,,9.8
2011,18 bis unter 65 Jahre,,,,,10.8
2012,18 bis unter 65 Jahre,,,,,10.4
2013,18 bis unter 65 Jahre,,,,,10.5
2014,18 bis unter 65 Jahre,,,,,11.5
2015,18 bis unter 65 Jahre,,,,,11.3
2016,18 bis unter 65 Jahre,,,,,10.4
2017,18 bis unter 65 Jahre,,,,,10.2
2018,18 bis unter 65 Jahre,,,,,10.4
2019,18 bis unter 65 Jahre,,,,,9.6
2020,18 bis unter 65 Jahre,,|,,,9.9
2021,18 bis unter 65 Jahre,,,,,9.4
2022,18 bis unter 65 Jahre,,,,,8.2
2023,18 bis unter 65 Jahre,,,,,8.1
2010,65 Jahre und älter,,,,,7.0
2011,65 Jahre und älter,,,,,7.3
2012,65 Jahre und älter,,,,,8.4
2013,65 Jahre und älter,,,,,8.0
2014,65 Jahre und älter,,,,,9.1
2015,65 Jahre und älter,,,,,9.0
2016,65 Jahre und älter,,,,,9.4
2017,65 Jahre und älter,,,,,9.2
2018,65 Jahre und älter,,,,,9.7
2019,65 Jahre und älter,,,,,9.8
2020,65 Jahre und älter,,|,,,11.5
2021,65 Jahre und älter,,,,,11.8
2022,65 Jahre und älter,,,,,10.0
2023,65 Jahre und älter,,,,,9.6
2010,,Weiblich,,,,9.3
2011,,Weiblich,,,,9.9
2012,,Weiblich,,,,10.1
2013,,Weiblich,,,,9.9
2014,,Weiblich,,,,10.7
2015,,Weiblich,,,,10.3
2016,,Weiblich,,,,10.1
2017,,Weiblich,,,,9.6
2018,,Weiblich,,,,10.0
2019,,Weiblich,,,,9.4
2020,,Weiblich,|,,,10.6
2021,,Weiblich,,,,10.1
2022,,Weiblich,,,,8.9
2023,,Weiblich,,,,8.7
2010,,Männlich,,,,9.0
2011,,Männlich,,,,9.4
2012,,Männlich,,,,9.0
2013,,Männlich,,,,8.9
2014,,Männlich,,,,10.2
2015,,Männlich,,,,10.1
2016,,Männlich,,,,9.3
2017,,Männlich,,,,9.3
2018,,Männlich,,,,9.6
2019,,Männlich,,,,8.5
2020,,Männlich,|,,,9.9
2021,,Männlich,,,,9.6
2022,,Männlich,,,,8.0
2023,,Männlich,,,,7.9
