Year,Units,Zeitreihe,Gefährdungskategorie,Value
2015,Prozent,Gefährdungskategorie (nach FAO-Klassifikation),Gefährdet,45.45
2015,Prozent,Gefährdungskategorie (nach FAO-Klassifikation),Nicht gefährdet,54.55
2011,Anzahl,"Einheimische Nutztierrassen (Pferde, Rinder, Schweine, Schafe und Ziegen)",,74.0
2012,Anzahl,"Einheimische Nutztierrassen (Pferde, Rinder, Schweine, Schafe und Ziegen)",,
2013,Anzahl,"Einheimische Nutztierrassen (Pferde, Rinder, Schweine, Schafe und Ziegen)",,75.0
2014,Anzahl,"Einheimische Nutztierrassen (Pferde, Rinder, Schweine, Schafe und Ziegen)",,
2015,Anzahl,"Einheimische Nutztierrassen (Pferde, Rinder, Schweine, Schafe und Ziegen)",,77.0
2016,Anzahl,"Einheimische Nutztierrassen (Pferde, Rinder, Schweine, Schafe und Ziegen)",,
2017,Anzahl,"Einheimische Nutztierrassen (Pferde, Rinder, Schweine, Schafe und Ziegen)",,77.0
2011,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Nicht gefährdet,29.7
2012,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Nicht gefährdet,
2013,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Nicht gefährdet,30.7
2014,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Nicht gefährdet,
2015,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Nicht gefährdet,28.6
2016,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Nicht gefährdet,
2017,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Nicht gefährdet,29.9
2011,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Beobachtungspopulationen,39.2
2012,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Beobachtungspopulationen,
2013,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Beobachtungspopulationen,42.7
2014,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Beobachtungspopulationen,
2015,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Beobachtungspopulationen,46.8
2016,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Beobachtungspopulationen,
2017,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Beobachtungspopulationen,46.8
2011,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Erhaltungspopulationen,24.3
2012,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Erhaltungspopulationen,
2013,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Erhaltungspopulationen,20.0
2014,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Erhaltungspopulationen,
2015,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Erhaltungspopulationen,18.2
2016,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Erhaltungspopulationen,
2017,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Erhaltungspopulationen,16.9
2011,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Phänotypische Erhaltungspopulationen,6.8
2012,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Phänotypische Erhaltungspopulationen,
2013,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Phänotypische Erhaltungspopulationen,6.7
2014,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Phänotypische Erhaltungspopulationen,
2015,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Phänotypische Erhaltungspopulationen,6.5
2016,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Phänotypische Erhaltungspopulationen,
2017,Prozent,Gefährdungskategorie (nach nationaler Klassifikation),Phänotypische Erhaltungspopulationen,6.5
