Year,Units,Zeitreihe,Verkehrsträger,Value
2010,Millionen Personenkilometer,Personenverkehr,,1117240.0
2011,Millionen Personenkilometer,Personenverkehr,,1131004.0
2012,Millionen Personenkilometer,Personenverkehr,,1135558.0
2013,Millionen Personenkilometer,Personenverkehr,,1144212.0
2014,Millionen Personenkilometer,Personenverkehr,,1162858.0
2015,Millionen Personenkilometer,Personenverkehr,,1180505.0
2016,Millionen Personenkilometer,Personenverkehr,,1204879.0
2017,Millionen Personenkilometer,Personenverkehr,,1193176.0
2018,Millionen Personenkilometer,Personenverkehr,,
2010,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,78092.0
2011,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,77957.0
2012,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,76019.0
2013,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,76885.0
2014,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,78786.0
2015,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,81771.0
2016,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,81443.0
2017,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,79724.0
2018,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,
2010,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,83886.0
2011,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,85414.0
2012,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,88796.0
2013,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,89613.0
2014,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,90976.0
2015,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,91709.0
2016,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,94197.0
2017,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,95529.0
2018,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,
2010,Millionen Personenkilometer,Personenverkehr,Luftverkehr,52822.0
2011,Millionen Personenkilometer,Personenverkehr,Luftverkehr,55216.0
2012,Millionen Personenkilometer,Personenverkehr,Luftverkehr,56180.0
2013,Millionen Personenkilometer,Personenverkehr,Luftverkehr,56294.0
2014,Millionen Personenkilometer,Personenverkehr,Luftverkehr,58136.0
2015,Millionen Personenkilometer,Personenverkehr,Luftverkehr,61295.0
2016,Millionen Personenkilometer,Personenverkehr,Luftverkehr,63939.0
2017,Millionen Personenkilometer,Personenverkehr,Luftverkehr,67523.0
2018,Millionen Personenkilometer,Personenverkehr,Luftverkehr,
2010,Millionen Personenkilometer,Personenverkehr,Motorisierter Individualverkehr,902440.0
2011,Millionen Personenkilometer,Personenverkehr,Motorisierter Individualverkehr,912417.0
2012,Millionen Personenkilometer,Personenverkehr,Motorisierter Individualverkehr,914563.0
2013,Millionen Personenkilometer,Personenverkehr,Motorisierter Individualverkehr,921420.0
2014,Millionen Personenkilometer,Personenverkehr,Motorisierter Individualverkehr,934960.0
2015,Millionen Personenkilometer,Personenverkehr,Motorisierter Individualverkehr,945730.0
2016,Millionen Personenkilometer,Personenverkehr,Motorisierter Individualverkehr,965300.0
2017,Millionen Personenkilometer,Personenverkehr,Motorisierter Individualverkehr,950400.0
2018,Millionen Personenkilometer,Personenverkehr,Motorisierter Individualverkehr,
2010,Millionen Tonnenkilometer,Güterverkehr,,627882.0
2011,Millionen Tonnenkilometer,Güterverkehr,,628083.0
2012,Millionen Tonnenkilometer,Güterverkehr,,618179.0
2013,Millionen Tonnenkilometer,Güterverkehr,,634974.0
2014,Millionen Tonnenkilometer,Güterverkehr,,642604.0
2015,Millionen Tonnenkilometer,Güterverkehr,,656708.0
2016,Millionen Tonnenkilometer,Güterverkehr,,798487.0
2017,Millionen Tonnenkilometer,Güterverkehr,,695736.0
2018,Millionen Tonnenkilometer,Güterverkehr,,
2010,Millionen Tonnenkilometer,Güterverkehr,Straßenverkehr,440600.0
2011,Millionen Tonnenkilometer,Güterverkehr,Straßenverkehr,442635.0
2012,Millionen Tonnenkilometer,Güterverkehr,Straßenverkehr,431999.0
2013,Millionen Tonnenkilometer,Güterverkehr,Straßenverkehr,442700.0
2014,Millionen Tonnenkilometer,Güterverkehr,Straßenverkehr,451900.0
2015,Millionen Tonnenkilometer,Güterverkehr,Straßenverkehr,465600.0
2016,Millionen Tonnenkilometer,Güterverkehr,Straßenverkehr,479400.0
2017,Millionen Tonnenkilometer,Güterverkehr,Straßenverkehr,491000.0
2018,Millionen Tonnenkilometer,Güterverkehr,Straßenverkehr,
2010,Millionen Tonnenkilometer,Güterverkehr,Eisenbahnverkehr,107317.0
2011,Millionen Tonnenkilometer,Güterverkehr,Eisenbahnverkehr,113317.0
2012,Millionen Tonnenkilometer,Güterverkehr,Eisenbahnverkehr,110065.0
2013,Millionen Tonnenkilometer,Güterverkehr,Eisenbahnverkehr,112613.0
2014,Millionen Tonnenkilometer,Güterverkehr,Eisenbahnverkehr,112629.0
2015,Millionen Tonnenkilometer,Güterverkehr,Eisenbahnverkehr,116632.0
2016,Millionen Tonnenkilometer,Güterverkehr,Eisenbahnverkehr,128296.0
2017,Millionen Tonnenkilometer,Güterverkehr,Eisenbahnverkehr,129361.0
2018,Millionen Tonnenkilometer,Güterverkehr,Eisenbahnverkehr,
2010,Millionen Tonnenkilometer,Güterverkehr,Binnenschifffahrt,62278.0
2011,Millionen Tonnenkilometer,Güterverkehr,Binnenschifffahrt,55027.0
2012,Millionen Tonnenkilometer,Güterverkehr,Binnenschifffahrt,58488.0
2013,Millionen Tonnenkilometer,Güterverkehr,Binnenschifffahrt,60070.0
2014,Millionen Tonnenkilometer,Güterverkehr,Binnenschifffahrt,59093.0
2015,Millionen Tonnenkilometer,Güterverkehr,Binnenschifffahrt,55315.0
2016,Millionen Tonnenkilometer,Güterverkehr,Binnenschifffahrt,54347.0
2017,Millionen Tonnenkilometer,Güterverkehr,Binnenschifffahrt,55518.0
2018,Millionen Tonnenkilometer,Güterverkehr,Binnenschifffahrt,46900.0
2010,Millionen Tonnenkilometer,Güterverkehr,Luftverkehr,1428.0
2011,Millionen Tonnenkilometer,Güterverkehr,Luftverkehr,1480.0
2012,Millionen Tonnenkilometer,Güterverkehr,Luftverkehr,1420.0
2013,Millionen Tonnenkilometer,Güterverkehr,Luftverkehr,1410.0
2014,Millionen Tonnenkilometer,Güterverkehr,Luftverkehr,1441.0
2015,Millionen Tonnenkilometer,Güterverkehr,Luftverkehr,1447.0
2016,Millionen Tonnenkilometer,Güterverkehr,Luftverkehr,1519.0
2017,Millionen Tonnenkilometer,Güterverkehr,Luftverkehr,1617.0
2018,Millionen Tonnenkilometer,Güterverkehr,Luftverkehr,
2010,Millionen Tonnenkilometer,Güterverkehr,Rohrfernleitungen: Rohöl,16259.0
2011,Millionen Tonnenkilometer,Güterverkehr,Rohrfernleitungen: Rohöl,15623.0
2012,Millionen Tonnenkilometer,Güterverkehr,Rohrfernleitungen: Rohöl,16207.0
2013,Millionen Tonnenkilometer,Güterverkehr,Rohrfernleitungen: Rohöl,18180.0
2014,Millionen Tonnenkilometer,Güterverkehr,Rohrfernleitungen: Rohöl,17541.0
2015,Millionen Tonnenkilometer,Güterverkehr,Rohrfernleitungen: Rohöl,17714.0
2016,Millionen Tonnenkilometer,Güterverkehr,Rohrfernleitungen: Rohöl,18761.0
2017,Millionen Tonnenkilometer,Güterverkehr,Rohrfernleitungen: Rohöl,18239.0
2018,Millionen Tonnenkilometer,Güterverkehr,Rohrfernleitungen: Rohöl,17225.0
