Year,Zeitreihe,Value
2010,Entbindungen in Krankenhäusern,656390
2011,Entbindungen in Krankenhäusern,642197
2012,Entbindungen in Krankenhäusern,653215
2013,Entbindungen in Krankenhäusern,661138
2014,Entbindungen in Krankenhäusern,692794
2015,Entbindungen in Krankenhäusern,716539
2016,Entbindungen in Krankenhäusern,761777
2017,Entbindungen in Krankenhäusern,762343
2018,Entbindungen in Krankenhäusern,757878
2010,Lebendgeborene insgesamt,677947
2011,Lebendgeborene insgesamt,662685
2012,Lebendgeborene insgesamt,673544
2013,Lebendgeborene insgesamt,682069
2014,Lebendgeborene insgesamt,714927
2015,Lebendgeborene insgesamt,737575
2016,Lebendgeborene insgesamt,792141
2017,Lebendgeborene insgesamt,784901
2018,Lebendgeborene insgesamt,787523
2019,Lebendgeborene insgesamt,778090
