Year,Zeitreihe,Value
2010,Säuglingssterblichkeit (unter 1 Jahr),3.4
2011,Säuglingssterblichkeit (unter 1 Jahr),3.6
2012,Säuglingssterblichkeit (unter 1 Jahr),3.3
2013,Säuglingssterblichkeit (unter 1 Jahr),3.3
2014,Säuglingssterblichkeit (unter 1 Jahr),3.2
2015,Säuglingssterblichkeit (unter 1 Jahr),3.3
2016,Säuglingssterblichkeit (unter 1 Jahr),3.4
2017,Säuglingssterblichkeit (unter 1 Jahr),3.2
2010,Kindersterblichkeit unter 5 Jahren,4.1
2011,Kindersterblichkeit unter 5 Jahren,4.3
2012,Kindersterblichkeit unter 5 Jahren,3.9
2013,Kindersterblichkeit unter 5 Jahren,3.9
2014,Kindersterblichkeit unter 5 Jahren,3.8
2015,Kindersterblichkeit unter 5 Jahren,3.9
2016,Kindersterblichkeit unter 5 Jahren,4.0
2017,Kindersterblichkeit unter 5 Jahren,3.8
