Year,Art der Versorgungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Schulen mit Zugang zu Elektrizität,s,,,100
2011,Schulen mit Zugang zu Elektrizität,s,,,100
2012,Schulen mit Zugang zu Elektrizität,s,,,100
2013,Schulen mit Zugang zu Elektrizität,s,,,100
2014,Schulen mit Zugang zu Elektrizität,s,,,100
2015,Schulen mit Zugang zu Elektrizität,s,,,100
2016,Schulen mit Zugang zu Elektrizität,s,,,100
2017,Schulen mit Zugang zu Elektrizität,s,,,100
2018,Schulen mit Zugang zu Elektrizität,s,,,100
2019,Schulen mit Zugang zu Elektrizität,s,,,100
2020,Schulen mit Zugang zu Elektrizität,s,,,100
2021,Schulen mit Zugang zu Elektrizität,s,,,100
2022,Schulen mit Zugang zu Elektrizität,s,,,100
2023,Schulen mit Zugang zu Elektrizität,s,,,100
2024,Schulen mit Zugang zu Elektrizität,s,,,100
2025,Schulen mit Zugang zu Elektrizität,s,,,100
2010,Schulen mit Zugang zu Trinkwasser,s,,,100
2011,Schulen mit Zugang zu Trinkwasser,s,,,100
2012,Schulen mit Zugang zu Trinkwasser,s,,,100
2013,Schulen mit Zugang zu Trinkwasser,s,,,100
2014,Schulen mit Zugang zu Trinkwasser,s,,,100
2015,Schulen mit Zugang zu Trinkwasser,s,,,100
2016,Schulen mit Zugang zu Trinkwasser,s,,,100
2017,Schulen mit Zugang zu Trinkwasser,s,,,100
2018,Schulen mit Zugang zu Trinkwasser,s,,,100
2019,Schulen mit Zugang zu Trinkwasser,s,,,100
2020,Schulen mit Zugang zu Trinkwasser,s,,,100
2021,Schulen mit Zugang zu Trinkwasser,s,,,100
2022,Schulen mit Zugang zu Trinkwasser,s,,,100
2023,Schulen mit Zugang zu Trinkwasser,s,,,100
2024,Schulen mit Zugang zu Trinkwasser,s,,,100
2025,Schulen mit Zugang zu Trinkwasser,s,,,100
2010,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2011,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2012,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2013,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2014,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2015,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2016,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2017,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2018,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2019,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2020,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2021,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2022,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2023,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2024,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2025,"Schulen mit Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2010,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2011,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2012,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2013,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2014,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2015,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2016,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2017,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2018,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2019,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2020,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2021,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2022,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2023,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2024,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2025,Schulen mit Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
