Year,Zeitreihe,Value
2010,CO<sub>2</sub>-Emissionen zum realen BIP,353.2
2011,CO<sub>2</sub>-Emissionen zum realen BIP,330.2
2012,CO<sub>2</sub>-Emissionen zum realen BIP,330.7
2013,CO<sub>2</sub>-Emissionen zum realen BIP,336.3
2014,CO<sub>2</sub>-Emissionen zum realen BIP,313.7
2015,CO<sub>2</sub>-Emissionen zum realen BIP,310.3
2016,CO<sub>2</sub>-Emissionen zum realen BIP,305.4
2017,CO<sub>2</sub>-Emissionen zum realen BIP,292.2
2018,CO<sub>2</sub>-Emissionen zum realen BIP,276.8
2019,CO<sub>2</sub>-Emissionen zum realen BIP,259.7
2010,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,430.5
2011,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,392.5
2012,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,391.1
2013,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,387.1
2014,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,362.3
2015,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,357.8
2016,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,347.6
2017,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,345.3
2018,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,326.3
2019,CO<sub>2</sub>-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,337.7
