Year,Zeitreihe,Value
2010,CO2-Emissionen zum realen BIP,353.2
2011,CO2-Emissionen zum realen BIP,330.2
2012,CO2-Emissionen zum realen BIP,330.7
2013,CO2-Emissionen zum realen BIP,336.3
2014,CO2-Emissionen zum realen BIP,313.7
2015,CO2-Emissionen zum realen BIP,310.3
2016,CO2-Emissionen zum realen BIP,305.4
2017,CO2-Emissionen zum realen BIP,292.2
2018,CO2-Emissionen zum realen BIP,276.8
2019,CO2-Emissionen zum realen BIP,259.7
2010,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,430.3
2011,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,392.3
2012,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,390.2
2013,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,387.7
2014,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,366.3
2015,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,362.0
2016,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,351.9
2017,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,345.3
2018,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,340.9
2019,CO2-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,
