Year,Units,Value
2010,Millionen Tonnen,1263.0
2011,Millionen Tonnen,1363.0
2012,Millionen Tonnen,1318.0
2013,Millionen Tonnen,1311.0
2014,Millionen Tonnen,1348.0
2015,Millionen Tonnen,1268.0
2016,Millionen Tonnen,1280.0
2017,Millionen Tonnen,1326.0
2018,Millionen Tonnen,1279.0
2010,Tonnen pro Kopf,15.7
2011,Tonnen pro Kopf,17.0
2012,Tonnen pro Kopf,16.4
2013,Tonnen pro Kopf,16.3
2014,Tonnen pro Kopf,17.0
2015,Tonnen pro Kopf,15.8
2016,Tonnen pro Kopf,15.8
2017,Tonnen pro Kopf,15.7
2010,Pro realem BIP (2010 = 100),100.0
2011,Pro realem BIP (2010 = 100),103.9
2012,Pro realem BIP (2010 = 100),100.0
2013,Pro realem BIP (2010 = 100),99.0
2014,Pro realem BIP (2010 = 100),101.4
2015,Pro realem BIP (2010 = 100),93.9
2016,Pro realem BIP (2010 = 100),92.7
2017,Pro realem BIP (2010 = 100),89.9
