Year,Value,Series
2017,177387.0,Pflanzengenetische Ressourcen
2018,179498.0,Pflanzengenetische Ressourcen
2019,181637.0,Pflanzengenetische Ressourcen
2020,181574.0,Pflanzengenetische Ressourcen
2021,182018.0,Pflanzengenetische Ressourcen
2022,183488.0,Pflanzengenetische Ressourcen
2023,183763.0,Pflanzengenetische Ressourcen
2017,28.0,Tiergenetische Ressourcen
2018,28.0,Tiergenetische Ressourcen
2019,28.0,Tiergenetische Ressourcen
2020,28.0,Tiergenetische Ressourcen
2021,28.0,Tiergenetische Ressourcen
2022,28.0,Tiergenetische Ressourcen
2023,28.0,Tiergenetische Ressourcen
