Year,Value,Series
2010,,Tiergenetische Ressourcen
2011,,Tiergenetische Ressourcen
2012,,Tiergenetische Ressourcen
2013,,Tiergenetische Ressourcen
2014,,Tiergenetische Ressourcen
2015,,Tiergenetische Ressourcen
2016,,Tiergenetische Ressourcen
2017,28.0,Tiergenetische Ressourcen
2018,28.0,Tiergenetische Ressourcen
2019,28.0,Tiergenetische Ressourcen
2020,28.0,Tiergenetische Ressourcen
2010,,Pflanzengenetische Ressourcen
2011,,Pflanzengenetische Ressourcen
2012,,Pflanzengenetische Ressourcen
2013,,Pflanzengenetische Ressourcen
2014,174266.0,Pflanzengenetische Ressourcen
2015,,Pflanzengenetische Ressourcen
2016,174405.0,Pflanzengenetische Ressourcen
2017,177387.0,Pflanzengenetische Ressourcen
2018,179498.0,Pflanzengenetische Ressourcen
2019,181637.0,Pflanzengenetische Ressourcen
2020,181574.0,Pflanzengenetische Ressourcen
