Year,Value,Units,Series
2010,1117240,Millionen Personenkilometer,Personenverkehr
2011,1131004,Millionen Personenkilometer,Personenverkehr
2012,1135558,Millionen Personenkilometer,Personenverkehr
2013,1143475,Millionen Personenkilometer,Personenverkehr
2014,1162942,Millionen Personenkilometer,Personenverkehr
2015,1180646,Millionen Personenkilometer,Personenverkehr
2016,1204775,Millionen Personenkilometer,Personenverkehr
2017,1155136,Millionen Personenkilometer,Personenverkehr
2018,1161885,Millionen Personenkilometer,Personenverkehr
2019,1170186,Millionen Personenkilometer,Personenverkehr
2020,921930,Millionen Personenkilometer,Personenverkehr
2021,930469,Millionen Personenkilometer,Personenverkehr
2010,627882,Millionen Tonnenkilometer,Güterverkehr
2011,628083,Millionen Tonnenkilometer,Güterverkehr
2012,618179,Millionen Tonnenkilometer,Güterverkehr
2013,634973,Millionen Tonnenkilometer,Güterverkehr
2014,642604,Millionen Tonnenkilometer,Güterverkehr
2015,655708,Millionen Tonnenkilometer,Güterverkehr
2016,676893,Millionen Tonnenkilometer,Güterverkehr
2017,692578,Millionen Tonnenkilometer,Güterverkehr
2018,694963,Millionen Tonnenkilometer,Güterverkehr
2019,697942,Millionen Tonnenkilometer,Güterverkehr
2020,671760,Millionen Tonnenkilometer,Güterverkehr
2021,702360,Millionen Tonnenkilometer,Güterverkehr
2022,703029,Millionen Tonnenkilometer,Güterverkehr
