Year,Value,Units,Series
2010,1117240,Millionen Personenkilometer,Personenverkehr
2011,1131004,Millionen Personenkilometer,Personenverkehr
2010,627882,Millionen Tonnenkilometer,Güterverkehr
2011,628047,Millionen Tonnenkilometer,Güterverkehr
2012,618179,Millionen Tonnenkilometer,Güterverkehr
2013,634973,Millionen Tonnenkilometer,Güterverkehr
2014,642604,Millionen Tonnenkilometer,Güterverkehr
2015,655708,Millionen Tonnenkilometer,Güterverkehr
2016,686388,Millionen Tonnenkilometer,Güterverkehr
2017,702090,Millionen Tonnenkilometer,Güterverkehr
2018,702636,Millionen Tonnenkilometer,Güterverkehr
2019,707002,Millionen Tonnenkilometer,Güterverkehr
2020,679988,Millionen Tonnenkilometer,Güterverkehr
2021,712443,Millionen Tonnenkilometer,Güterverkehr
2022,710911,Millionen Tonnenkilometer,Güterverkehr
2023,675473,Millionen Tonnenkilometer,Güterverkehr
2024,671136,Millionen Tonnenkilometer,Güterverkehr
