Year,Value,Series
2010,38.7,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2011,38.7,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2012,41.9,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2013,41.9,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2014,35.5,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2015,41.9,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2016,45.2,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2017,46.9,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2018,50.0,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2019,43.8,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2020,53.1,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2021,65.6,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2010,39.7,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2011,39.7,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2012,39.7,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2013,39.7,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2014,39.7,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2015,39.7,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2016,39.7,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2017,41.0,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2018,41.0,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2019,41.0,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2020,41.0,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
2021,41.0,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen
