Year,Value,Units,Series
2010,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2011,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2012,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2013,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2014,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2015,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2016,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2017,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2018,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2019,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2020,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2021,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2022,100.0,Prozent,Bevölkerung mit Zugang zu Elektrizität
2010,44391.3,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2011,44766.6,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2012,45722.9,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2013,46105.0,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2014,46918.7,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2015,47283.1,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2016,47606.5,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2017,47241.7,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2018,48394.5,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2019,48441.5,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2020,49137.9,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
2021,49296.9,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
