Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,percentage,annual growth rate of real gdp,,,,4.1
2011,percentage,annual growth rate of real gdp,,,,3.8
2012,percentage,annual growth rate of real gdp,,,,0.5
2013,percentage,annual growth rate of real gdp,,,,0.4
2014,percentage,annual growth rate of real gdp,,,,2.2
2015,percentage,annual growth rate of real gdp,,,,1.7
2016,percentage,annual growth rate of real gdp,,,,2.3
2017,percentage,annual growth rate of real gdp,,,,2.7
2018,percentage,annual growth rate of real gdp,,,,1.1
2019,percentage,annual growth rate of real gdp,,,,1.0
2020,percentage,annual growth rate of real gdp,,,,-4.1
2021,percentage,annual growth rate of real gdp,p,,,3.7
2022,percentage,annual growth rate of real gdp,p,,,1.4
2023,percentage,annual growth rate of real gdp,p,,,-0.3
2024,percentage,annual growth rate of real gdp,p,,,-0.2
2010,billion eur,available income of private households,,,,1577.9
2011,billion eur,available income of private households,,,,1626.5
2012,billion eur,available income of private households,,,,1660.6
2013,billion eur,available income of private households,,,,1681.8
2014,billion eur,available income of private households,,,,1726.4
2015,billion eur,available income of private households,,,,1779.1
2016,billion eur,available income of private households,,,,1834.2
2017,billion eur,available income of private households,,,,1897.2
2018,billion eur,available income of private households,,,,1973.6
2019,billion eur,available income of private households,,,,2021.8
2020,billion eur,available income of private households,,,,2025.2
2021,billion eur,available income of private households,p,,,2085.0
2022,billion eur,available income of private households,p,,,2249.6
2023,billion eur,available income of private households,p,,,2404.4
2024,billion eur,available income of private households,p,,,2513.2
2010,billion eur,consumption by private households,,,,1417.1
2011,billion eur,consumption by private households,,,,1463.0
2012,billion eur,consumption by private households,,,,1503.4
2013,billion eur,consumption by private households,,,,1528.8
2014,billion eur,consumption by private households,,,,1560.4
2015,billion eur,consumption by private households,,,,1604.9
2016,billion eur,consumption by private households,,,,1651.7
2017,billion eur,consumption by private households,,,,1704.0
2018,billion eur,consumption by private households,,,,1757.5
2019,billion eur,consumption by private households,,,,1813.7
2020,billion eur,consumption by private households,,,,1695.6
2021,billion eur,consumption by private households,p,,,1786.7
2022,billion eur,consumption by private households,p,,,2018.0
2023,billion eur,consumption by private households,p,,,2145.4
2024,billion eur,consumption by private households,p,,,2209.4
2010,billion eur,debts of the total public budget,,,,2011.7
2011,billion eur,debts of the total public budget,,,,2025.4
2012,billion eur,debts of the total public budget,,,,2068.3
2013,billion eur,debts of the total public budget,,,,2043.3
2014,billion eur,debts of the total public budget,,,,2043.9
2015,billion eur,debts of the total public budget,,,,2020.7
2016,billion eur,debts of the total public budget,,,,2009.3
2017,billion eur,debts of the total public budget,,,,1969.1
2018,billion eur,debts of the total public budget,,,,1915.8
2019,billion eur,debts of the total public budget,,,,1899.1
2020,billion eur,debts of the total public budget,,,,2172.9
2021,billion eur,debts of the total public budget,,,,2321.0
2022,billion eur,debts of the total public budget,,,,2368.0
2023,billion eur,debts of the total public budget,,,,2445.1
2024,billion eur,debts of the total public budget,…,,,
2010,billion eur,government fiscal balance,,,,-115.6
2011,billion eur,government fiscal balance,,,,-23.1
2012,billion eur,government fiscal balance,,,,-1.5
2013,billion eur,government fiscal balance,,,,3.5
2014,billion eur,government fiscal balance,,,,21.8
2015,billion eur,government fiscal balance,,,,28.2
2016,billion eur,government fiscal balance,,,,36.2
2017,billion eur,government fiscal balance,,,,44.6
2018,billion eur,government fiscal balance,r,,,64.7
