Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Water and sanitation,,,,486.1
2011,Million EUR,Water and sanitation,,,,563.5
2012,Million EUR,Water and sanitation,,,,497.0
2013,Million EUR,Water and sanitation,,,,552.9
2014,Million EUR,Water and sanitation,,,,748.5
2015,Million EUR,Water and sanitation,,,,827.6
2016,Million EUR,Water and sanitation,,,,835.0
2017,Million EUR,Water and sanitation,,,,856.6
2018,Million EUR,Water and sanitation,,,,894.9
2019,Million EUR,Water and sanitation,,,,823.0
2020,Million EUR,Water and sanitation,,,,874.2
2021,Million EUR,Water and sanitation,,,,771.8
2022,Million EUR,Water and sanitation,,,,815.6
2023,Million EUR,Water and sanitation,,,,932.9
2024,Million EUR,Water and sanitation,,,,1341.0
2010,Million EUR,Other related purposes,,,,41.2
2011,Million EUR,Other related purposes,,,,76.4
2012,Million EUR,Other related purposes,,,,57.8
2013,Million EUR,Other related purposes,,,,51.8
2014,Million EUR,Other related purposes,,,,54.4
2015,Million EUR,Other related purposes,,,,21.9
2016,Million EUR,Other related purposes,,,,19.4
2017,Million EUR,Other related purposes,,,,7.0
2018,Million EUR,Other related purposes,,,,29.4
2019,Million EUR,Other related purposes,,,,10.9
2020,Million EUR,Other related purposes,,,,11.0
2021,Million EUR,Other related purposes,,,,16.8
2022,Million EUR,Other related purposes,,,,14.7
2023,Million EUR,Other related purposes,,,,24.3
2024,Million EUR,Other related purposes,,,,39.8
2010,"Million USD, constant prices (2024)",Water and sanitation,,,,745.7
2011,"Million USD, constant prices (2024)",Water and sanitation,,,,853.9
2012,"Million USD, constant prices (2024)",Water and sanitation,,,,742.5
2013,"Million USD, constant prices (2024)",Water and sanitation,,,,809.8
2014,"Million USD, constant prices (2024)",Water and sanitation,,,,1076.0
2015,"Million USD, constant prices (2024)",Water and sanitation,,,,1169.2
2016,"Million USD, constant prices (2024)",Water and sanitation,,,,1165.0
2017,"Million USD, constant prices (2024)",Water and sanitation,,,,1177.9
2018,"Million USD, constant prices (2024)",Water and sanitation,,,,1207.8
2019,"Million USD, constant prices (2024)",Water and sanitation,,,,1088.9
2020,"Million USD, constant prices (2024)",Water and sanitation,,,,1136.8
2021,"Million USD, constant prices (2024)",Water and sanitation,,,,977.3
2022,"Million USD, constant prices (2024)",Water and sanitation,,,,970.4
2023,"Million USD, constant prices (2024)",Water and sanitation,,,,1040.4
2024,"Million USD, constant prices (2024)",Water and sanitation,,,,1450.3
2010,"Million USD, constant prices (2024)",Other related purposes,,,,63.2
2011,"Million USD, constant prices (2024)",Other related purposes,,,,115.8
2012,"Million USD, constant prices (2024)",Other related purposes,,,,86.4
2013,"Million USD, constant prices (2024)",Other related purposes,,,,75.9
2014,"Million USD, constant prices (2024)",Other related purposes,,,,78.3
2015,"Million USD, constant prices (2024)",Other related purposes,,,,30.9
2016,"Million USD, constant prices (2024)",Other related purposes,,,,27.0
2017,"Million USD, constant prices (2024)",Other related purposes,,,,9.6
2018,"Million USD, constant prices (2024)",Other related purposes,,,,39.7
2019,"Million USD, constant prices (2024)",Other related purposes,,,,14.4
2020,"Million USD, constant prices (2024)",Other related purposes,,,,14.3
2021,"Million USD, constant prices (2024)",Other related purposes,,,,21.3
2022,"Million USD, constant prices (2024)",Other related purposes,,,,17.5
2023,"Million USD, constant prices (2024)",Other related purposes,,,,27.1
2024,"Million USD, constant prices (2024)",Other related purposes,,,,43.1
