Year,Units,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,commitments,,,,668.083
2011,Million EUR,commitments,,,,823.082
2012,Million EUR,commitments,,,,1088.977
2013,Million EUR,commitments,,,,851.035
2014,Million EUR,commitments,,,,937.185
2015,Million EUR,commitments,,,,864.022
2016,Million EUR,commitments,,,,606.119
2017,Million EUR,commitments,,,,1342.039
2018,Million EUR,commitments,,,,1450.388
2019,Million EUR,commitments,,,,1430.158
2020,Million EUR,commitments,,,,1144.416
2021,Million EUR,commitments,,,,1108.705
2022,Million EUR,commitments,,,,1499.012
2023,Million EUR,commitments,,,,757.125
2024,Million EUR,commitments,,,,1417.545
2010,Million EUR,gross disbursements,,,,486.112
2011,Million EUR,gross disbursements,,,,563.478
2012,Million EUR,gross disbursements,,,,496.972
2013,Million EUR,gross disbursements,,,,552.891
2014,Million EUR,gross disbursements,,,,748.529
2015,Million EUR,gross disbursements,,,,827.553
2016,Million EUR,gross disbursements,,,,834.984
2017,Million EUR,gross disbursements,,,,856.627
2018,Million EUR,gross disbursements,,,,894.85
2019,Million EUR,gross disbursements,,,,822.974
2020,Million EUR,gross disbursements,,,,874.244
2021,Million EUR,gross disbursements,,,,771.803
2022,Million EUR,gross disbursements,,,,815.596
2023,Million EUR,gross disbursements,,,,932.932
2024,Million EUR,gross disbursements,,,,1340.968
2010,"Million USD, constant prices (2024)",commitments,,,,1024.884
2011,"Million USD, constant prices (2024)",commitments,,,,1247.3
2012,"Million USD, constant prices (2024)",commitments,,,,1626.893
2013,"Million USD, constant prices (2024)",commitments,,,,1246.525
2014,"Million USD, constant prices (2024)",commitments,,,,1347.16
2015,"Million USD, constant prices (2024)",commitments,,,,1220.71
2016,"Million USD, constant prices (2024)",commitments,,,,845.674
2017,"Million USD, constant prices (2024)",commitments,,,,1845.298
2018,"Million USD, constant prices (2024)",commitments,,,,1957.629
2019,"Million USD, constant prices (2024)",commitments,,,,1892.226
2020,"Million USD, constant prices (2024)",commitments,,,,1488.085
2021,"Million USD, constant prices (2024)",commitments,,,,1403.873
2022,"Million USD, constant prices (2024)",commitments,,,,1783.565
2023,"Million USD, constant prices (2024)",commitments,,,,844.317
2024,"Million USD, constant prices (2024)",commitments,,,,1533.145
2010,"Million USD, constant prices (2024)",gross disbursements,,,,745.728
2011,"Million USD, constant prices (2024)",gross disbursements,,,,853.896
2012,"Million USD, constant prices (2024)",gross disbursements,,,,742.459
2013,"Million USD, constant prices (2024)",gross disbursements,,,,809.829
2014,"Million USD, constant prices (2024)",gross disbursements,,,,1075.975
2015,"Million USD, constant prices (2024)",gross disbursements,,,,1169.186
2016,"Million USD, constant prices (2024)",gross disbursements,,,,1164.993
2017,"Million USD, constant prices (2024)",gross disbursements,,,,1177.858
2018,"Million USD, constant prices (2024)",gross disbursements,,,,1207.805
2019,"Million USD, constant prices (2024)",gross disbursements,,,,1088.868
2020,"Million USD, constant prices (2024)",gross disbursements,,,,1136.78
2021,"Million USD, constant prices (2024)",gross disbursements,,,,977.278
2022,"Million USD, constant prices (2024)",gross disbursements,,,,970.418
2023,"Million USD, constant prices (2024)",gross disbursements,,,,1040.37
2024,"Million USD, constant prices (2024)",gross disbursements,,,,1450.322
