Year,Zeitreihe,Value
2010,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.76
2011,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.76
2012,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.79
2013,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.79
2014,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.87
2015,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.87
2016,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.87
2017,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.87
2018,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.87
2019,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",74.38
2020,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",74.38
2010,"Flächen in Gebirgen, die unter Schutz stehen",50.54
2011,"Flächen in Gebirgen, die unter Schutz stehen",50.7
2012,"Flächen in Gebirgen, die unter Schutz stehen",50.89
2013,"Flächen in Gebirgen, die unter Schutz stehen",51.31
2014,"Flächen in Gebirgen, die unter Schutz stehen",51.49
2015,"Flächen in Gebirgen, die unter Schutz stehen",51.69
2016,"Flächen in Gebirgen, die unter Schutz stehen",52.34
2017,"Flächen in Gebirgen, die unter Schutz stehen",52.34
2018,"Flächen in Gebirgen, die unter Schutz stehen",52.89
2019,"Flächen in Gebirgen, die unter Schutz stehen",53.5
2020,"Flächen in Gebirgen, die unter Schutz stehen",53.5
