Year,Units,timeseries,Value
2010,million eur,oda and oof (commitments) to strengthen statistical capacity,1.9
2011,million eur,oda and oof (commitments) to strengthen statistical capacity,2.4
2012,million eur,oda and oof (commitments) to strengthen statistical capacity,3.1
2013,million eur,oda and oof (commitments) to strengthen statistical capacity,10.1
2014,million eur,oda and oof (commitments) to strengthen statistical capacity,0.1
2015,million eur,oda and oof (commitments) to strengthen statistical capacity,0.1
2016,million eur,oda and oof (commitments) to strengthen statistical capacity,0.1
2017,million eur,oda and oof (commitments) to strengthen statistical capacity,2.3
2018,million eur,oda and oof (commitments) to strengthen statistical capacity,0.1
2019,million eur,oda and oof (commitments) to strengthen statistical capacity,0.1
2020,million eur,oda and oof (commitments) to strengthen statistical capacity,2.0
2021,million eur,oda and oof (commitments) to strengthen statistical capacity,1.8
2010,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,2.6
2011,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,3.3
2012,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,1.8
2013,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,10.6
2014,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,0.1
2015,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,0.0
2016,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,0.1
2017,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,0.1
2018,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,0.5
2019,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,0.9
2020,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,1.1
2021,million eur,oda and oof (gross disbursements) to strengthen statistical capacity,3.1
2010,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,2.8
2011,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,3.5
2012,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,4.4
2013,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,13.9
2014,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,0.1
2015,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,0.1
2016,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,0.1
2017,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,2.9
2018,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,0.1
2019,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,0.1
2020,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,2.4
2021,"million usd, constant prices (2021)",oda and oof (commitments) to strengthen statistical capacity,2.2
2010,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,3.8
2011,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,4.7
2012,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,2.5
2013,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,14.7
2014,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,0.1
2015,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,0.0
2016,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,0.1
2017,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,0.1
2018,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,0.7
2019,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,1.1
2020,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,1.4
2021,"million usd, constant prices (2021)",oda and oof (gross disbursements) to strengthen statistical capacity,3.7
