Year,profession,Value
2010,,
2011,,
2012,,350.08
2013,,360.17
2014,,366.64
2015,,369.33
2016,,376.02
2017,,382.04
2018,,391.11
2019,,398.0
2020,,405.27
2010,d) pharmacists,6.36
2011,d) pharmacists,6.35
2012,d) pharmacists,6.21
2013,d) pharmacists,6.31
2014,d) pharmacists,6.4
2015,d) pharmacists,6.45
2016,d) pharmacists,6.3
2017,d) pharmacists,6.46
2018,d) pharmacists,6.56
2019,d) pharmacists,6.66
2020,d) pharmacists,6.73
2010,a) medical doctors,37.89
2011,a) medical doctors,38.72
2012,a) medical doctors,39.37
2013,a) medical doctors,40.24
2014,a) medical doctors,41.01
2015,a) medical doctors,41.13
2016,a) medical doctors,41.78
2017,a) medical doctors,42.42
2018,a) medical doctors,43.05
2019,a) medical doctors,43.9
2020,a) medical doctors,44.62
2010,c) nursing and midwifery personnel,103.21
2011,c) nursing and midwifery personnel,104.07
2012,c) nursing and midwifery personnel,104.57
2013,c) nursing and midwifery personnel,108.09
2014,c) nursing and midwifery personnel,109.61
2015,c) nursing and midwifery personnel,109.52
2016,c) nursing and midwifery personnel,111.36
2017,c) nursing and midwifery personnel,113.42
2018,c) nursing and midwifery personnel,117.92
2019,c) nursing and midwifery personnel,120.84
2020,c) nursing and midwifery personnel,123.62
2010,b) dentists,8.23
2011,b) dentists,8.34
2012,b) dentists,8.44
2013,b) dentists,8.42
2014,b) dentists,8.5
2015,b) dentists,8.52
2016,b) dentists,8.48
2017,b) dentists,8.55
2018,b) dentists,8.56
2019,b) dentists,8.54
2020,b) dentists,8.54
