Year,Water use index,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Share of withdrawal in renewable water resources,r,,,15.96
2011,Share of withdrawal in renewable water resources,.,,,
2012,Share of withdrawal in renewable water resources,.,,,
2013,Share of withdrawal in renewable water resources,r,,,13.69
2014,Share of withdrawal in renewable water resources,.,,,
2015,Share of withdrawal in renewable water resources,.,,,
2016,Share of withdrawal in renewable water resources,r,,,15.52
2017,Share of withdrawal in renewable water resources,.,,,
2018,Share of withdrawal in renewable water resources,.,,,
2019,Share of withdrawal in renewable water resources,r,,,15.35
2020,Share of withdrawal in renewable water resources,.,,,
2021,Share of withdrawal in renewable water resources,.,,,
2022,Share of withdrawal in renewable water resources,,,,16.67
2010,Share of withdrawal in renewable water resources (excluding cooling water),r,,,4.29
2011,Share of withdrawal in renewable water resources (excluding cooling water),.,,,
2012,Share of withdrawal in renewable water resources (excluding cooling water),.,,,
2013,Share of withdrawal in renewable water resources (excluding cooling water),r,,,4.73
2014,Share of withdrawal in renewable water resources (excluding cooling water),.,,,
2015,Share of withdrawal in renewable water resources (excluding cooling water),.,,,
2016,Share of withdrawal in renewable water resources (excluding cooling water),r,,,5.5
2017,Share of withdrawal in renewable water resources (excluding cooling water),.,,,
2018,Share of withdrawal in renewable water resources (excluding cooling water),.,,,
2019,Share of withdrawal in renewable water resources (excluding cooling water),r,,,6.57
2020,Share of withdrawal in renewable water resources (excluding cooling water),.,,,
2021,Share of withdrawal in renewable water resources (excluding cooling water),.,,,
2022,Share of withdrawal in renewable water resources (excluding cooling water),,,,8.3
