Year,Time series,Value
2010,Coverage of DTP containing vaccine at school entrance,95.2
2011,Coverage of DTP containing vaccine at school entrance,95.6
2012,Coverage of DTP containing vaccine at school entrance,95.8
2013,Coverage of DTP containing vaccine at school entrance,96.2
2014,Coverage of DTP containing vaccine at school entrance,95.7
2015,Coverage of DTP containing vaccine at school entrance,95.2
2016,Coverage of DTP containing vaccine at school entrance,94.5
2017,Coverage of DTP containing vaccine at school entrance,93.5
2010,Coverage of measles containing vaccine at school entrance,91.5
2011,Coverage of measles containing vaccine at school entrance,92.1
2012,Coverage of measles containing vaccine at school entrance,92.4
2013,Coverage of measles containing vaccine at school entrance,92.6
2014,Coverage of measles containing vaccine at school entrance,92.8
2015,Coverage of measles containing vaccine at school entrance,92.8
2016,Coverage of measles containing vaccine at school entrance,92.9
2017,Coverage of measles containing vaccine at school entrance,92.8
2010,Coverage of pneumococcal conjugate vaccine at school entrance,15.2
2011,Coverage of pneumococcal conjugate vaccine at school entrance,41.0
2012,Coverage of pneumococcal conjugate vaccine at school entrance,68.3
2013,Coverage of pneumococcal conjugate vaccine at school entrance,84.5
2014,Coverage of pneumococcal conjugate vaccine at school entrance,85.3
2015,Coverage of pneumococcal conjugate vaccine at school entrance,86.1
2016,Coverage of pneumococcal conjugate vaccine at school entrance,84.4
2017,Coverage of pneumococcal conjugate vaccine at school entrance,83.8
2010,Coverage of HPV containing vaccine of 15 years old girls,
2011,Coverage of HPV containing vaccine of 15 years old girls,26.5
2012,Coverage of HPV containing vaccine of 15 years old girls,26.8
2013,Coverage of HPV containing vaccine of 15 years old girls,29.0
2014,Coverage of HPV containing vaccine of 15 years old girls,30.5
2015,Coverage of HPV containing vaccine of 15 years old girls,31.3
2016,Coverage of HPV containing vaccine of 15 years old girls,
2017,Coverage of HPV containing vaccine of 15 years old girls,
