Year,Series,Value
2010,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2011,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2012,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2013,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2014,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2015,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2016,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2017,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2018,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2019,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,0.6
2020,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2021,Implementation and progress on national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,
2010,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2011,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2012,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2013,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2014,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2015,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2016,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2017,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2018,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2019,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2020,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
2021,Implementation of the System of Environmental-Economic Accounting (SEEA),3.0
