Year,Time series,Value
2010,Documents issued for the import and export of protected species,22601
2011,Documents issued for the import and export of protected species,20687
2012,Documents issued for the import and export of protected species,21045
2013,Documents issued for the import and export of protected species,21364
2014,Documents issued for the import and export of protected species,23170
2015,Documents issued for the import and export of protected species,23093
2016,Documents issued for the import and export of protected species,24248
2017,Documents issued for the import and export of protected species,29644
2018,Documents issued for the import and export of protected species,31738
2019,Documents issued for the import and export of protected species,30284
2010,Seizures by authorities concerning the protection of species,1365
2011,Seizures by authorities concerning the protection of species,1208
2012,Seizures by authorities concerning the protection of species,1112
2013,Seizures by authorities concerning the protection of species,1105
2014,Seizures by authorities concerning the protection of species,852
2015,Seizures by authorities concerning the protection of species,1301
2016,Seizures by authorities concerning the protection of species,915
2017,Seizures by authorities concerning the protection of species,934
2018,Seizures by authorities concerning the protection of species,1294
2019,Seizures by authorities concerning the protection of species,1444
