Year,Feelings of insecurity,Series,Value
2012,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),41.0
2017,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),36.7
2020,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),25.8
2012,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),41.8
2017,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),41.9
2020,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),46.3
2012,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),12.5
2017,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),15.2
2020,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),22.2
2012,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),4.8
2017,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),6.3
2020,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),5.7
2010,,"Population not living in an area with crime, violence or vandalism",88.0
2011,,"Population not living in an area with crime, violence or vandalism",87.1
2012,,"Population not living in an area with crime, violence or vandalism",87.5
2013,,"Population not living in an area with crime, violence or vandalism",86.5
2014,,"Population not living in an area with crime, violence or vandalism",86.9
2015,,"Population not living in an area with crime, violence or vandalism",86.2
2016,,"Population not living in an area with crime, violence or vandalism",85.9
2017,,"Population not living in an area with crime, violence or vandalism",85.8
2018,,"Population not living in an area with crime, violence or vandalism",86.7
2019,,"Population not living in an area with crime, violence or vandalism",86.9
2020,,"Population not living in an area with crime, violence or vandalism",91.8
