Year,Units,Time series,Mode of transport,Value
2010,Million passenger-kilometre,Passenger transport,,1117240.0
2011,Million passenger-kilometre,Passenger transport,,1131004.0
2012,Million passenger-kilometre,Passenger transport,,1135558.0
2013,Million passenger-kilometre,Passenger transport,,1144212.0
2014,Million passenger-kilometre,Passenger transport,,1162858.0
2015,Million passenger-kilometre,Passenger transport,,1180505.0
2016,Million passenger-kilometre,Passenger transport,,1204879.0
2017,Million passenger-kilometre,Passenger transport,,1193176.0
2018,Million passenger-kilometre,Passenger transport,,
2010,Million passenger-kilometre,Passenger transport,Road transport,78092.0
2011,Million passenger-kilometre,Passenger transport,Road transport,77957.0
2012,Million passenger-kilometre,Passenger transport,Road transport,76019.0
2013,Million passenger-kilometre,Passenger transport,Road transport,76885.0
2014,Million passenger-kilometre,Passenger transport,Road transport,78786.0
2015,Million passenger-kilometre,Passenger transport,Road transport,81771.0
2016,Million passenger-kilometre,Passenger transport,Road transport,81443.0
2017,Million passenger-kilometre,Passenger transport,Road transport,79724.0
2018,Million passenger-kilometre,Passenger transport,Road transport,
2010,Million passenger-kilometre,Passenger transport,Rail transport,83886.0
2011,Million passenger-kilometre,Passenger transport,Rail transport,85414.0
2012,Million passenger-kilometre,Passenger transport,Rail transport,88796.0
2013,Million passenger-kilometre,Passenger transport,Rail transport,89613.0
2014,Million passenger-kilometre,Passenger transport,Rail transport,90976.0
2015,Million passenger-kilometre,Passenger transport,Rail transport,91709.0
2016,Million passenger-kilometre,Passenger transport,Rail transport,94197.0
2017,Million passenger-kilometre,Passenger transport,Rail transport,95529.0
2018,Million passenger-kilometre,Passenger transport,Rail transport,
2010,Million passenger-kilometre,Passenger transport,Commercial air transport,52822.0
2011,Million passenger-kilometre,Passenger transport,Commercial air transport,55216.0
2012,Million passenger-kilometre,Passenger transport,Commercial air transport,56180.0
2013,Million passenger-kilometre,Passenger transport,Commercial air transport,56294.0
2014,Million passenger-kilometre,Passenger transport,Commercial air transport,58136.0
2015,Million passenger-kilometre,Passenger transport,Commercial air transport,61295.0
2016,Million passenger-kilometre,Passenger transport,Commercial air transport,63939.0
2017,Million passenger-kilometre,Passenger transport,Commercial air transport,67523.0
2018,Million passenger-kilometre,Passenger transport,Commercial air transport,
2010,Million passenger-kilometre,Passenger transport,Motorised private transport,902440.0
